Time,RTx,RTy,RTz,LTx,LTy,LTz,Px,Py,Pz,Tx,Ty,Tz
0,0.621638596,-0.425331682,-2.093940496,-2.551990271,0.65435648,1.374148488,0.916099012,0.556203008,-0.03271782,1.112406015,0.294460386,0.458049506
0.00675,0.196306944,-1.439584136,-1.079688072,-2.159376144,0.719792068,1.243277192,0.752509892,0.458049506,0.196306944,1.145123839,0.359896034,0.556203008
0.0135,-0.359896034,-2.781014919,-0.359896034,-1.930351615,0.850663364,1.145123839,0.687074244,0.359896034,0.49076733,1.145123839,0.359896034,0.65435648
0.02025,-2.781014919,0.229024753,-0.32717824,-1.930351615,0.98153466,1.079688072,0.65435648,0.359896034,0.948816895,1.145123839,0.359896034,0.752509892
0.027,-3.958856583,0.523485124,-1.046970248,-2.093940496,1.145123839,1.014252543,0.458049506,0.458049506,1.766762376,0.98153466,0.359896034,1.145123839
0.03375,-3.337217808,-1.570455551,-1.668608904,-2.322965384,1.275995135,0.916099012,-0.65435648,1.374148488,2.551990271,0.719792068,0.458049506,1.701326728
0.0405,-2.257529736,-1.079688072,-0.425331682,-2.355683088,1.341430664,0.752509892,-4.580495358,3.337217808,1.046970248,0.261742562,0.65435648,1.995787144
0.04725,-1.570455551,-1.308712959,-0.392613888,-2.159376144,1.341430664,0.588920772,-3.762549639,0.621638596,-0.196306944,-1.046970248,0.523485124,1.7994802
0.054,-1.243277192,1.341430664,-1.897633791,-1.897633791,1.308712959,0.49076733,-1.341430664,0.752509892,0.719792068,-4.253316879,0.49076733,1.308712959
0.06075,0.229024753,1.897633791,-1.930351615,-1.63589108,1.112406015,0.523485124,-1.63589108,0.425331682,0.850663364,-3.010039568,0.523485124,0.425331682
0.0675,0.98153466,-0.687074244,-2.257529736,-1.406866312,0.916099012,0.49076733,-1.505019784,-0.425331682,0.65435648,-0.32717824,0.81794554,0.556203008
0.07425,0.850663364,-1.308712959,-1.603173375,-1.046970248,0.752509892,0.523485124,-0.81794554,-0.752509892,0.425331682,0,0.98153466,1.63589108
0.081,1.046970248,-0.261742562,-0.81794554,-0.32717824,0.785227776,0.588920772,-1.079688072,-0.556203008,0.294460386,-0.556203008,0.98153466,2.061222792
0.08775,0.49076733,-0.196306944,-0.458049506,0.229024753,0.850663364,0.556203008,-1.603173375,-0.49076733,0.458049506,-0.687074244,0.850663364,2.12665844
0.0945,-1.243277192,-0.81794554,-1.046970248,0.32717824,0.850663364,0.392613888,-2.061222792,-0.458049506,0.523485124,-0.621638596,0.621638596,2.192094088
0.10125,-1.014252543,-0.556203008,-0.916099012,0.261742562,0.785227776,0.229024753,-2.093940496,-0.16358912,0.359896034,-0.752509892,0.458049506,2.159376144
0.108,0.03271782,-0.916099012,-0.883381188,0.229024753,0.65435648,0.065435641,-2.028505087,0,0.229024753,-1.046970248,0.392613888,2.093940496
0.11475,-0.261742562,-1.308712959,-0.81794554,0.392613888,0.523485124,-0.03271782,-1.930351615,0.03271782,0.065435641,-1.47230196,0.458049506,1.897633791
0.1215,-0.752509892,-0.719792068,-0.588920772,0.556203008,0.556203008,-0.03271782,-1.734044552,0.130871281,0.065435641,-1.603173375,0.556203008,1.668608904
0.12825,-1.177841544,-1.046970248,-0.425331682,0.719792068,0.687074244,-0.098153472,-1.701326728,0.294460386,0.065435641,-1.275995135,0.556203008,1.63589108
0.135,-1.734044552,-0.948816895,-0.458049506,0.752509892,0.81794554,-0.098153472,-1.505019784,0.49076733,-0.03271782,-0.916099012,0.49076733,1.603173375
0.14175,-2.159376144,-0.752509892,-0.359896034,0.523485124,0.883381188,-0.065435641,-1.341430664,0.556203008,-0.03271782,-0.785227776,0.425331682,1.505019784
0.1485,-2.322965384,-0.556203008,-0.294460386,0.294460386,0.948816895,0,-1.177841544,0.621638596,0,-0.752509892,0.458049506,1.308712959
0.15525,-2.551990271,-0.49076733,-0.359896034,0.130871281,0.883381188,0,-0.98153466,0.687074244,0.03271782,-0.65435648,0.49076733,1.177841544
0.162,-2.682861328,0,-0.32717824,-0.03271782,0.785227776,0.03271782,-0.81794554,0.719792068,0.065435641,-0.49076733,0.556203008,1.046970248
0.16875,-2.781014919,0.229024753,-0.098153472,-0.130871281,0.588920772,0.065435641,-0.719792068,0.65435648,0.098153472,-0.359896034,0.556203008,0.948816895
0.1755,-2.879168272,0.523485124,0.425331682,-0.196306944,0.425331682,0.065435641,-0.687074244,0.523485124,0.098153472,-0.229024753,0.556203008,0.850663364
0.18225,-2.813732624,0.719792068,0.81794554,-0.196306944,0.261742562,0.03271782,-0.65435648,0.359896034,0.098153472,-0.130871281,0.556203008,0.785227776
0.189,-2.584707975,0.687074244,1.275995135,-0.196306944,0.294460386,0,-0.556203008,0.261742562,0.16358912,-0.065435641,0.523485124,0.719792068
0.19575,-2.650143623,0.752509892,1.766762376,-0.229024753,0.32717824,-0.03271782,-0.523485124,0.261742562,0.16358912,0,0.49076733,0.65435648
0.2025,-2.486554384,0.65435648,2.028505087,-0.294460386,0.392613888,-0.261742562,-0.458049506,0.261742562,0.229024753,0.065435641,0.49076733,0.556203008
0.20925,-2.192094088,0.458049506,2.453836679,-0.32717824,0.621638596,-0.687074244,-0.359896034,0.196306944,0.294460386,0.130871281,0.49076733,0.523485124
0.216,-1.603173375,0.196306944,2.388401031,-0.294460386,0.687074244,-1.243277192,-0.196306944,0.196306944,0.392613888,0.196306944,0.49076733,0.458049506
0.22275,-0.556203008,0.130871281,1.7994802,-0.229024753,0.523485124,-1.7994802,-0.03271782,0.196306944,0.49076733,0.261742562,0.523485124,0.359896034
0.2295,-0.196306944,-0.261742562,1.439584136,-0.359896034,0.359896034,-2.224812031,0.16358912,0.196306944,0.588920772,0.294460386,0.523485124,0.261742562
0.23625,-0.229024753,-0.785227776,0.81794554,-0.719792068,0.261742562,-2.650143623,0.359896034,0.229024753,0.621638596,0.359896034,0.556203008,0.196306944
0.243,-0.229024753,-0.948816895,0.425331682,-1.079688072,0.229024753,-3.239064455,0.556203008,0.294460386,0.65435648,0.425331682,0.588920772,0.16358912
0.24975,-0.392613888,-0.458049506,0.098153472,-1.537737727,0.425331682,-3.533524752,0.785227776,0.392613888,0.588920772,0.49076733,0.588920772,0.130871281
0.2565,-1.014252543,-0.883381188,-0.130871281,-1.63589108,1.177841544,-3.729831934,1.079688072,0.458049506,0.49076733,0.588920772,0.621638596,0.098153472
0.26325,-1.897633791,-0.719792068,0.65435648,-2.028505087,1.668608904,-4.384188175,1.308712959,0.49076733,0.425331682,0.687074244,0.65435648,0.098153472
0.27,-2.617425919,-0.130871281,1.439584136,-2.224812031,1.341430664,-5.07126236,1.603173375,0.523485124,0.359896034,0.752509892,0.687074244,0.130871281
0.27675,-2.813732624,0.03271782,1.832198024,-1.701326728,0.948816895,-5.234851837,1.734044552,0.588920772,0.261742562,0.850663364,0.687074244,0.196306944
0.2835,-2.617425919,0.03271782,1.930351615,-0.850663364,1.177841544,-5.005826473,1.7994802,0.65435648,0.16358912,0.916099012,0.687074244,0.261742562
0.29025,-2.519272327,-0.098153472,1.897633791,-0.229024753,1.47230196,-4.809519768,1.766762376,0.687074244,0.098153472,1.014252543,0.687074244,0.32717824
0.297,-2.617425919,-0.130871281,1.701326728,0.065435641,1.275995135,-4.940391064,1.701326728,0.65435648,0.03271782,1.046970248,0.719792068,0.392613888
0.30375,-2.748296976,0,1.603173375,0.294460386,0.752509892,-5.169415951,1.570455551,0.621638596,0,1.079688072,0.719792068,0.425331682
0.3105,-2.879168272,0.196306944,1.505019784,0.81794554,0.49076733,-5.038544655,1.439584136,0.588920772,0.03271782,1.079688072,0.719792068,0.458049506
0.31725,-2.977321625,0.392613888,1.439584136,0.948816895,0.49076733,-4.547777176,1.275995135,0.523485124,0.16358912,1.079688072,0.687074244,0.425331682
0.324,-2.682861328,0.556203008,1.505019784,0.425331682,0.261742562,-3.991574287,1.014252543,0.392613888,0.294460386,1.079688072,0.65435648,0.425331682
0.33075,-2.322965384,0.556203008,1.537737727,-0.03271782,-0.065435641,-2.748296976,0.719792068,0.16358912,0.425331682,1.079688072,0.588920772,0.425331682
0.3375,-2.224812031,0.556203008,1.668608904,0.261742562,0.556203008,-3.566242456,0.556203008,0.03271782,0.588920772,1.046970248,0.49076733,0.458049506
0.34425,-2.224812031,0.49076733,1.734044552,-2.453836679,0.458049506,-0.588920772,0.425331682,0,0.785227776,1.046970248,0.458049506,0.556203008
0.351,-2.290247679,0.294460386,1.734044552,-3.86070323,1.537737727,-0.850663364,0.261742562,0.03271782,1.341430664,1.014252543,0.425331682,0.752509892
0.35775,-2.322965384,0,1.63589108,-2.911885977,2.617425919,-2.682861328,-0.098153472,-0.130871281,1.897633791,0.883381188,0.392613888,1.014252543
0.3645,-2.192094088,-0.229024753,1.505019784,-2.551990271,1.374148488,-2.257529736,-2.551990271,-1.210559368,2.322965384,0.588920772,0.359896034,1.210559368
0.37125,-1.864915967,-0.261742562,1.275995135,-2.682861328,0.392613888,-0.458049506,-4.809519768,-0.785227776,0.425331682,-0.03271782,0.359896034,1.374148488
0.378,-1.570455551,-0.03271782,1.145123839,-1.505019784,-1.014252543,-1.439584136,-1.897633791,1.537737727,-0.065435641,-2.224812031,0.229024753,1.734044552
0.38475,-1.308712959,0.32717824,1.014252543,-1.145123839,-2.584707975,-2.388401031,-0.81794554,0.850663364,0.948816895,-4.711366177,-0.261742562,1.374148488
0.3915,-0.98153466,0.523485124,0.883381188,-0.32717824,-0.65435648,-1.995787144,-0.883381188,0.229024753,0.916099012,-3.010039568,-0.458049506,0.425331682
0.39825,-0.65435648,0.65435648,0.719792068,-0.229024753,0.98153466,-2.355683088,-1.341430664,0.850663364,0.556203008,-1.275995135,-0.523485124,0.392613888
0.405,-0.392613888,0.687074244,0.621638596,-0.098153472,1.308712959,-1.766762376,-1.341430664,1.63589108,0.425331682,-0.588920772,-0.621638596,1.046970248
0.41175,0,0.523485124,0.523485124,-0.261742562,1.177841544,-0.752509892,-1.374148488,1.63589108,0.425331682,-0.556203008,-0.49076733,1.897633791
0.4185,0.425331682,0.32717824,0.458049506,-0.588920772,1.046970248,-1.014252543,-1.243277192,1.570455551,0.392613888,-0.32717824,-0.359896034,2.159376144
0.42525,0.65435648,0.196306944,0.359896034,-1.406866312,0.850663364,-1.537737727,-1.275995135,1.570455551,0.294460386,-0.098153472,-0.425331682,2.12665844
0.432,0.687074244,0.16358912,0.294460386,-1.210559368,0.588920772,-1.177841544,-1.341430664,1.505019784,0.130871281,-0.16358912,-0.458049506,2.093940496
0.43875,0.687074244,0.130871281,0.229024753,-0.752509892,1.046970248,-1.505019784,-1.505019784,1.243277192,0.03271782,-0.49076733,-0.392613888,1.930351615
0.4455,0.687074244,0.065435641,0.229024753,-1.112406015,1.046970248,-1.210559368,-1.537737727,0.81794554,-0.03271782,-0.785227776,-0.32717824,1.63589108
0.45225,0.687074244,0.03271782,0.229024753,-1.63589108,1.145123839,-1.145123839,-1.47230196,0.523485124,0,-1.014252543,-0.229024753,1.374148488
0.459,0.621638596,0.03271782,0.261742562,-2.224812031,1.308712959,-0.98153466,-1.374148488,0.425331682,-0.03271782,-1.177841544,-0.16358912,1.177841544
0.46575,0.458049506,0.03271782,0.261742562,-2.551990271,1.374148488,-0.556203008,-1.243277192,0.392613888,-0.03271782,-1.243277192,-0.098153472,0.98153466
0.4725,0.261742562,0.03271782,0.32717824,-2.911885977,1.243277192,-0.785227776,-1.145123839,0.359896034,0,-1.112406015,-0.065435641,0.850663364
0.47925,0.16358912,0.065435641,0.294460386,-3.108193159,0.98153466,-0.621638596,-0.948816895,0.32717824,0,-0.883381188,-0.098153472,0.81794554
0.486,0.098153472,0.130871281,0.196306944,-3.20634675,0.916099012,-0.49076733,-0.81794554,0.294460386,0,-0.621638596,-0.130871281,0.850663364
0.49275,0.065435641,0.229024753,0.065435641,-3.337217808,0.785227776,-0.294460386,-0.752509892,0.261742562,0.065435641,-0.32717824,-0.130871281,0.883381188
0.4995,0.065435641,0.458049506,-0.03271782,-3.500806808,0.687074244,0.392613888,-0.785227776,0.32717824,0.03271782,-0.130871281,-0.130871281,0.850663364
0.50625,0.065435641,0.523485124,-0.098153472,-3.402653456,0.556203008,0.81794554,-0.687074244,0.359896034,0.065435641,0.03271782,-0.130871281,0.81794554
0.513,0.16358912,0.523485124,-0.130871281,-3.369935751,0.556203008,1.374148488,-0.588920772,0.425331682,0.130871281,0.130871281,-0.065435641,0.752509892
0.51975,0.229024753,0.392613888,-0.16358912,-3.337217808,0.621638596,2.322965384,-0.523485124,0.49076733,0.229024753,0.16358912,0,0.65435648
0.5265,0.261742562,0.16358912,-0.392613888,-2.977321625,0.883381188,2.781014919,-0.392613888,0.523485124,0.294460386,0.196306944,0.098153472,0.556203008
0.53325,0.261742562,-0.03271782,-0.752509892,-2.290247679,1.210559368,2.977321625,-0.229024753,0.458049506,0.425331682,0.229024753,0.16358912,0.458049506
0.54,0.261742562,-0.065435641,-1.210559368,-1.079688072,1.243277192,2.682861328,-0.03271782,0.392613888,0.687074244,0.261742562,0.229024753,0.359896034
0.54675,0.229024753,0.098153472,-1.603173375,0,1.079688072,1.995787144,0.098153472,0.294460386,0.687074244,0.229024753,0.261742562,0.261742562
0.5535,0.261742562,-0.03271782,-1.897633791,-0.392613888,1.046970248,1.930351615,0.294460386,0.130871281,0.785227776,0.229024753,0.261742562,0.196306944
0.56025,0.32717824,-0.687074244,-2.290247679,-0.948816895,0.916099012,1.243277192,0.556203008,-0.03271782,0.81794554,0.261742562,0.294460386,0.16358912
0.567,0.130871281,-1.308712959,-2.617425919,-0.98153466,1.014252543,0.883381188,0.752509892,-0.16358912,0.81794554,0.294460386,0.294460386,0.130871281
0.57375,-0.392613888,-1.832198024,-2.977321625,-0.785227776,1.046970248,0.588920772,0.883381188,-0.16358912,0.719792068,0.32717824,0.294460386,0.098153472
0.5805,-1.145123839,-2.093940496,-3.435371399,-1.537737727,1.046970248,-0.065435641,0.98153466,-0.065435641,0.523485124,0.392613888,0.294460386,0.098153472
0.58725,-1.308712959,-1.96306932,-3.729831934,-2.453836679,1.47230196,-0.294460386,1.046970248,-0.03271782,0.359896034,0.458049506,0.294460386,0.098153472
0.594,-1.014252543,-2.093940496,-3.664396048,-3.108193159,1.734044552,0.425331682,1.112406015,0,0.229024753,0.556203008,0.261742562,0.065435641
0.60075,-0.687074244,-2.519272327,-3.664396048,-3.468089104,1.766762376,1.014252543,1.210559368,0.03271782,0.130871281,0.621638596,0.261742562,0.065435641
0.6075,-0.294460386,-2.355683088,-3.5989604,-3.697113752,1.603173375,1.603173375,1.275995135,0.065435641,0.03271782,0.719792068,0.229024753,0.098153472
0.61425,0.16358912,-1.864915967,-3.697113752,-3.631678104,1.374148488,1.96306932,1.406866312,0.196306944,0,0.850663364,0.16358912,0.130871281
0.621,0.687074244,-1.374148488,-3.795267582,-3.369935751,1.210559368,2.028505087,1.47230196,0.392613888,-0.065435641,0.948816895,0.130871281,0.196306944
0.62775,1.210559368,-1.079688072,-3.697113752,-3.304500103,0.948816895,1.96306932,1.47230196,0.556203008,-0.098153472,1.046970248,0.098153472,0.294460386
0.6345,1.341430664,-1.046970248,-3.468089104,-3.239064455,0.752509892,1.832198024,1.341430664,0.588920772,-0.065435641,1.145123839,0.065435641,0.359896034
0.64125,1.210559368,-0.850663364,-3.20634675,-2.94460392,0.687074244,1.63589108,1.079688072,0.49076733,0,1.210559368,0.098153472,0.425331682
0.648,0.588920772,-0.81794554,-2.421118736,-2.486554384,0.621638596,1.47230196,0.883381188,0.359896034,0.065435641,1.243277192,0.130871281,0.458049506
0.65475,0.229024753,-1.439584136,-1.63589108,-2.12665844,0.65435648,1.308712959,0.785227776,0.261742562,0.294460386,1.308712959,0.196306944,0.523485124
0.6615,-0.65435648,-2.224812031,-0.556203008,-2.028505087,0.81794554,1.308712959,0.719792068,0.229024753,0.523485124,1.374148488,0.32717824,0.621638596
0.66825,-3.304500103,0.16358912,-0.32717824,-2.028505087,0.98153466,1.406866312,0.719792068,0.229024753,1.014252543,1.406866312,0.392613888,0.752509892
0.675,-3.893420935,0.261742562,-0.916099012,-2.12665844,1.145123839,1.505019784,0.556203008,0.425331682,1.897633791,1.308712959,0.425331682,1.079688072
0.68175,-3.140911102,-1.570455551,-1.341430664,-2.159376144,1.308712959,1.537737727,-0.81794554,1.505019784,2.519272327,1.079688072,0.523485124,1.570455551
0.6885,-2.290247679,-1.046970248,0,-2.061222792,1.439584136,1.47230196,-4.678648472,3.27178216,0.49076733,0.621638596,0.719792068,1.96306932
0.69525,-1.439584136,-0.948816895,-0.32717824,-1.832198024,1.439584136,1.177841544,-2.94460392,0.261742562,-0.16358912,-0.392613888,0.719792068,1.864915967
0.702,-0.883381188,1.275995135,-2.028505087,-1.570455551,1.308712959,0.81794554,-1.47230196,0.523485124,0.719792068,-3.729831934,0.81794554,1.47230196
0.70875,0.425331682,1.7994802,-1.96306932,-1.243277192,1.014252543,0.523485124,-1.308712959,-0.03271782,0.883381188,-4.515059471,0.719792068,0.359896034
