Time,RTx,RTy,RTz,LTx,LTy,LTz,Px,Py,Pz,Tx,Ty,Tz
0,0.556203008,-0.687074244,-1.734044552,-3.5989604,-0.03271782,1.63589108,1.177841544,0.65435648,0.261742562,0.065435641,0.065435641,0.065435641
0.00675,0.065435641,-0.81794554,-1.897633791,-2.977321625,0.098153472,1.439584136,1.210559368,0.81794554,0,0.49076733,0.03271782,0.130871281
0.0135,-0.556203008,-0.687074244,-2.159376144,-2.781014919,0.294460386,1.308712959,1.210559368,0.81794554,-0.098153472,0.81794554,0.03271782,0.16358912
0.02025,-1.897633791,-0.261742562,-2.551990271,-2.682861328,0.65435648,1.275995135,1.145123839,0.785227776,-0.130871281,1.014252543,0.098153472,0.196306944
0.027,-4.220599174,-0.523485124,-3.500806808,-2.584707975,1.014252543,1.341430664,1.079688072,0.687074244,-0.098153472,1.145123839,0.196306944,0.196306944
0.03375,-3.893420935,-0.392613888,-4.515059471,-2.551990271,1.243277192,1.406866312,0.98153466,0.556203008,-0.065435641,1.210559368,0.196306944,0.196306944
0.0405,-1.832198024,-1.177841544,-4.482341766,-2.650143623,1.308712959,1.406866312,0.948816895,0.425331682,0,1.177841544,0.16358912,0.16358912
0.04725,-1.668608904,-1.603173375,-4.155163288,-2.879168272,1.210559368,1.374148488,0.916099012,0.294460386,0.130871281,1.046970248,0.065435641,0.16358912
0.054,-1.275995135,-1.308712959,-4.515059471,-3.140911102,0.98153466,1.243277192,0.883381188,0.229024753,0.196306944,0.916099012,0,0.196306944
0.06075,0.850663364,-0.065435641,-4.220599174,-3.369935751,0.687074244,1.112406015,0.850663364,0.196306944,0.261742562,0.785227776,-0.03271782,0.294460386
0.0675,1.766762376,0.588920772,-4.416906357,-3.468089104,0.392613888,1.112406015,0.850663364,0.196306944,0.294460386,0.65435648,0.03271782,0.359896034
0.07425,1.210559368,0.65435648,-3.893420935,-3.402653456,0.294460386,1.145123839,0.850663364,0.261742562,0.32717824,0.556203008,0.16358912,0.359896034
0.081,0.458049506,0.687074244,-3.435371399,-3.304500103,0.359896034,1.145123839,0.850663364,0.229024753,0.359896034,0.556203008,0.294460386,0.294460386
0.08775,0.392613888,0.687074244,-3.108193159,-3.239064455,0.458049506,1.079688072,0.883381188,0.294460386,0.359896034,0.621638596,0.32717824,0.229024753
0.0945,0.392613888,-0.261742562,-4.089727879,-3.108193159,0.588920772,1.014252543,0.916099012,0.32717824,0.49076733,0.621638596,0.32717824,0.16358912
0.10125,0.03271782,-4.776802063,-6.183668613,-2.879168272,0.621638596,0.883381188,0.719792068,0.03271782,1.243277192,0.359896034,0.130871281,0.098153472
0.108,-3.140911102,-6.641717911,-4.024291992,-2.617425919,0.621638596,0.785227776,0.588920772,-0.392613888,1.7994802,-0.065435641,-0.03271782,0.16358912
0.11475,-5.692901134,-0.65435648,3.402653456,-2.290247679,0.883381188,0.523485124,0.458049506,-0.556203008,2.290247679,-0.752509892,0.130871281,0.687074244
0.1215,-5.463876247,0.752509892,4.122445583,-2.224812031,0.621638596,0.229024753,0.621638596,-0.196306944,1.930351615,-1.701326728,0.425331682,1.275995135
0.12825,-1.7994802,6.707153797,-0.916099012,-1.864915967,0.719792068,0.294460386,0.392613888,0.16358912,2.028505087,-2.781014919,0.65435648,1.243277192
0.135,0.719792068,8.146738052,-5.136698246,-1.406866312,0.81794554,0.359896034,0.065435641,0.588920772,1.668608904,-2.748296976,0.948816895,1.243277192
0.14175,0.359896034,2.322965384,-4.874955654,-0.948816895,0.916099012,0.425331682,-0.588920772,0.425331682,1.275995135,-1.701326728,1.243277192,1.374148488
0.1485,-1.832198024,2.813732624,-1.7994802,-0.556203008,0.81794554,0.425331682,-2.584707975,0.392613888,0.850663364,-0.719792068,1.210559368,1.668608904
0.15525,-0.785227776,1.864915967,-2.12665844,-0.621638596,0.16358912,0.065435641,-5.529312134,0.196306944,0.458049506,-0.32717824,1.243277192,1.897633791
0.162,-0.621638596,-0.719792068,-2.551990271,1.701326728,1.537737727,0.588920772,-7.001613617,-1.275995135,-0.229024753,-0.294460386,1.275995135,1.930351615
0.16875,-1.897633791,-0.916099012,-0.81794554,4.940391064,2.322965384,0.850663364,-4.187880993,-1.734044552,-0.065435641,-0.523485124,1.374148488,1.897633791
0.1755,-2.224812031,-1.63589108,-0.621638596,5.300287247,1.374148488,0.81794554,-2.093940496,-1.079688072,0,-0.948816895,1.47230196,1.930351615
0.18225,-1.374148488,-0.458049506,-0.523485124,2.977321625,1.439584136,0.556203008,-1.112406015,-0.523485124,0,-1.439584136,1.505019784,1.995787144
0.189,-1.766762376,-0.65435648,-1.668608904,1.275995135,1.210559368,0.32717824,-0.81794554,-0.196306944,-0.03271782,-1.734044552,1.47230196,2.028505087
0.19575,-2.290247679,0,-1.406866312,0.719792068,0.850663364,0.425331682,-1.406866312,0.03271782,-0.16358912,-1.766762376,1.374148488,1.96306932
0.2025,-2.781014919,0.196306944,-0.883381188,0.621638596,0.687074244,0.425331682,-1.701326728,0.196306944,-0.229024753,-1.537737727,1.145123839,1.864915967
0.20925,-3.239064455,0.458049506,-0.719792068,0.392613888,0.523485124,0.458049506,-1.734044552,0.261742562,-0.261742562,-1.145123839,0.948816895,1.734044552
0.216,-3.762549639,0.425331682,-0.32717824,0.065435641,0.49076733,0.556203008,-1.766762376,0.196306944,-0.294460386,-0.752509892,0.850663364,1.47230196
0.22275,-4.155163288,0.130871281,0.392613888,-0.196306944,0.81794554,0.621638596,-1.63589108,0.130871281,-0.196306944,-0.458049506,0.81794554,1.275995135
0.2295,-4.155163288,0.32717824,1.046970248,-0.425331682,1.145123839,0.556203008,-1.63589108,-0.03271782,0.098153472,-0.16358912,0.785227776,1.079688072
0.23625,-4.122445583,0.785227776,1.96306932,-0.588920772,1.275995135,0.392613888,-1.112406015,0.556203008,0.392613888,0.098153472,0.719792068,0.850663364
0.243,-4.187880993,1.079688072,2.977321625,-0.621638596,1.275995135,0.196306944,-0.719792068,0.719792068,0.294460386,0.32717824,0.621638596,0.621638596
0.24975,-4.187880993,0.883381188,3.27178216,-0.458049506,1.275995135,0.03271782,-0.425331682,0.850663364,0.229024753,0.425331682,0.523485124,0.425331682
0.2565,-3.762549639,-0.556203008,2.584707975,-0.16358912,1.243277192,-0.098153472,-0.098153472,1.014252543,0.32717824,0.49076733,0.392613888,0.229024753
0.26325,-1.96306932,-2.94460392,1.505019784,0.130871281,1.177841544,-0.229024753,0.03271782,1.112406015,0.719792068,0.425331682,0.261742562,0.03271782
0.27,-0.719792068,-3.991574287,0.229024753,0.196306944,1.145123839,-0.359896034,0.03271782,1.243277192,1.275995135,0.359896034,0.098153472,-0.098153472
0.27675,0.850663364,-3.304500103,-0.130871281,0.261742562,1.112406015,-0.719792068,0.261742562,1.374148488,1.603173375,0.130871281,-0.065435641,-0.16358912
0.2835,1.570455551,-2.551990271,-0.392613888,0.359896034,1.112406015,-1.145123839,0.49076733,1.406866312,1.603173375,-0.16358912,-0.261742562,-0.098153472
0.29025,0.785227776,-1.439584136,-1.374148488,0.49076733,1.177841544,-1.243277192,0.916099012,1.341430664,1.439584136,-0.294460386,-0.294460386,0.16358912
0.297,-0.065435641,-1.177841544,-1.243277192,0.523485124,1.308712959,-1.374148488,1.308712959,1.374148488,1.177841544,-0.32717824,-0.196306944,0.32717824
0.30375,-0.916099012,-0.65435648,0.098153472,0.425331682,1.505019784,-1.668608904,0.948816895,1.145123839,0.948816895,-0.458049506,-0.065435641,0.261742562
0.3105,-3.010039568,0.948816895,0.65435648,0.359896034,1.63589108,-1.96306932,0.752509892,0.556203008,0.785227776,-0.65435648,0.130871281,0.065435641
0.31725,-5.758336544,1.145123839,1.47230196,0.098153472,1.734044552,-2.028505087,0.948816895,0.098153472,0.458049506,-0.719792068,0.392613888,-0.065435641
0.324,-4.155163288,1.897633791,1.668608904,-0.425331682,1.603173375,-2.093940496,1.243277192,-0.16358912,0.130871281,-0.49076733,0.621638596,-0.098153472
0.33075,-2.682861328,1.406866312,1.145123839,-1.014252543,1.243277192,-2.715579271,1.275995135,-0.392613888,0.098153472,0,0.752509892,-0.098153472
0.3375,-2.715579271,0.752509892,1.046970248,-1.63589108,0.948816895,-3.631678104,1.243277192,-0.392613888,-0.098153472,0.556203008,0.850663364,-0.03271782
0.34425,-3.075475454,0.16358912,1.014252543,-2.551990271,1.406866312,-4.515059471,1.112406015,-0.49076733,-0.065435641,1.046970248,0.883381188,0.065435641
0.351,-3.010039568,-0.32717824,1.243277192,-4.089727879,2.650143623,-4.842237473,1.079688072,-0.425331682,0,1.308712959,0.883381188,0.229024753
0.35775,-2.617425919,-0.523485124,1.537737727,-4.253316879,3.533524752,-5.234851837,1.112406015,-0.16358912,0.03271782,1.374148488,0.850663364,0.32717824
0.3645,-2.453836679,-0.556203008,1.668608904,-2.028505087,2.584707975,-5.07126236,1.112406015,0.098153472,0.03271782,1.243277192,0.81794554,0.32717824
0.37125,-2.617425919,-0.458049506,1.7994802,0.687074244,0.49076733,-5.267569542,1.046970248,0.32717824,0.098153472,1.079688072,0.785227776,0.261742562
0.378,-2.94460392,-0.261742562,1.734044552,1.668608904,-0.425331682,-4.874955654,0.948816895,0.392613888,0.196306944,0.883381188,0.752509892,0.261742562
0.38475,-2.911885977,-0.065435641,1.439584136,1.308712959,0.588920772,-4.776802063,0.81794554,0.359896034,0.261742562,0.785227776,0.687074244,0.294460386
0.3915,-2.748296976,0.130871281,1.145123839,0.81794554,1.701326728,-4.547777176,0.719792068,0.261742562,0.294460386,0.687074244,0.588920772,0.359896034
0.39825,-2.617425919,0.294460386,1.014252543,0.556203008,1.734044552,-3.958856583,0.752509892,0.196306944,0.294460386,0.621638596,0.523485124,0.359896034
0.405,-2.551990271,0.359896034,0.98153466,0.425331682,0.948816895,-3.533524752,0.752509892,0.130871281,0.261742562,0.588920772,0.458049506,0.294460386
0.41175,-2.421118736,0.458049506,0.916099012,0.16358912,0.719792068,-3.010039568,0.752509892,0.130871281,0.229024753,0.556203008,0.458049506,0.229024753
0.4185,-2.290247679,0.458049506,0.850663364,0,0.523485124,-2.486554384,0.752509892,0.130871281,0.16358912,0.556203008,0.523485124,0.229024753
0.42525,-2.192094088,0.392613888,0.850663364,0.425331682,3.108193159,-6.118233204,0.65435648,0.425331682,0.556203008,0.556203008,0.621638596,0.196306944
0.432,-2.12665844,0.359896034,0.98153466,2.813732624,9.880782127,-7.426946163,0.556203008,0.81794554,1.210559368,0.229024753,0.752509892,0.229024753
0.43875,-1.930351615,0.261742562,1.079688072,-3.369935751,10.20796108,-1.832198024,0.425331682,1.341430664,1.897633791,-0.359896034,0.556203008,0.621638596
