Time,RTx,RTy,RTz,LTx,LTy,LTz,Px,Py,Pz,Tx,Ty,Tz
0,-5.075760841,-1.611352682,2.159212589,0.821789861,0.628427565,-7.218859673,0.708995163,-1.031265736,-0.225589365,0.064454108,0.8540169,0.048340581
0.00675,-4.689036369,-0.821789861,1.949736834,-0.821789861,1.063492775,-4.930738926,0.725108683,-0.918471098,-0.193362325,0.257816434,0.805676341,0.128908217
0.0135,-4.463447094,-0.177248791,1.72414732,-0.87013042,2.384801865,-3.73833847,0.563973427,-0.708995163,0.338384062,0.43506521,0.789562821,0.209475845
0.02025,-4.398993015,0.257816434,1.353536248,-0.934584618,3.947813988,0.273929954,0.306156993,-0.41895169,1.144060373,0.580086946,0.757335782,0.370611101
0.027,-4.592355251,0.644541085,0.950698137,-2.964888811,4.817944527,1.127946854,0.145021737,-0.064454108,1.820828438,0.563973427,0.660654604,0.644541085
0.03375,-4.898511887,0.660654604,0.644541085,-5.865323544,6.78379488,-3.835019588,-0.112794682,0.177248791,2.11087203,0.370611101,0.483405828,0.902357459
0.0405,-5.027420521,0.612313986,0.483405828,-7.815060616,5.05964756,-7.122178555,-0.660654604,0.273929954,2.272007227,-0.128908217,0.306156993,1.385763288
0.04725,-4.527901173,0.531746387,0.43506521,-7.218859673,2.304234266,-2.755413055,-1.28908217,0.354497582,2.239780188,-0.982925177,0.177248791,2.481482983
0.054,-3.81890583,0.483405828,0.580086946,-3.061570168,0.467292309,-1.772487879,-1.869169235,0.016113527,1.804714918,-2.449255943,0.209475845,3.835019588
0.06075,-3.399954081,0.515632868,0.628427565,-2.52982378,-0.241702914,-5.285236835,-3.013229609,-1.015152216,1.240741491,-4.431220055,-0.41895169,3.561089277
0.0675,-3.061570168,0.467292309,0.483405828,-1.7080338,-0.112794682,-4.382879257,-4.898511887,-2.207553148,0.612313986,-5.091874599,-1.820828438,2.159212589
0.07425,-2.771526575,0.370611101,0.177248791,0.725108683,-0.596200466,-4.237857342,-7.653925419,-2.288120747,0.805676341,-4.157289982,-2.562050819,1.321309209
0.081,-2.336461306,0.273929954,-0.161135271,2.239780188,0.45117873,-3.883359909,-8.105104446,1.965850353,0.644541085,-2.916548252,-2.835980654,1.530785084
0.08775,-1.563012123,-0.161135271,-0.676768124,1.079606295,1.240741491,-2.304234266,-5.107988358,3.931700706,1.095719814,-1.675806761,-2.417028904,2.819867134
0.0945,-0.306156993,-0.676768124,-1.095719814,-0.177248791,0.999038696,-1.836942196,-3.899473667,2.481482983,0.628427565,-0.563973427,-1.595239162,3.963927746
0.10125,1.031265736,-0.982925177,-1.27296865,-0.886243939,1.7080338,-2.868207693,-3.351613522,0.209475845,0.757335782,-0.080567636,-1.111833334,4.318425179
0.108,2.11087203,-0.982925177,-1.337422729,-2.578164339,3.013229609,-3.464408159,-2.964888811,-0.773449302,0.676768124,-0.483405828,-0.644541085,4.189517021
0.11475,2.52982378,-0.87013042,-1.369649768,-4.270084381,2.384801865,-2.884321213,-2.803753614,-1.079606295,0.45117873,-1.579125643,-0.064454108,3.947813988
0.1215,1.772487879,-0.41895169,-1.208514452,-4.834057808,2.14309907,-2.046417952,-3.029343128,-0.902357459,0.241702914,-2.868207693,0.402838171,3.480521679
0.12825,0.628427565,-0.322270542,-1.176287413,-2.707072496,1.514671564,-2.368688345,-3.496635199,-0.257816434,0.241702914,-3.625543356,0.45117873,2.932661772
0.135,-0.032227054,-0.467292309,-1.160173893,-1.804714918,1.69192028,-3.126024246,-4.012268066,0.112794682,0.225589365,-3.657770634,0.257816434,2.481482983
0.14175,-0.225589365,-0.370611101,-1.047379255,-2.884321213,1.7080338,-2.900434732,-4.157289982,0.370611101,0.257816434,-3.319386482,-0.064454108,2.320347786
0.1485,-0.193362325,-0.112794682,-0.918471098,-4.270084381,1.965850353,-2.11087203,-4.108949184,0.225589365,0.209475845,-2.932661772,-0.386724651,2.320347786
0.15525,-0.257816434,0.145021737,-0.83790338,-5.075760841,3.142137766,-2.223666668,-3.81890583,0.193362325,0.193362325,-2.610391378,-0.628427565,2.255893707
0.162,-0.499519348,0.306156993,-0.757335782,-5.881437302,2.594277859,-2.320347786,-3.561089277,0.128908217,0.273929954,-2.384801865,-0.725108683,2.014190912
0.16875,-0.773449302,0.402838171,-0.725108683,-5.978117943,1.111833334,-2.255893707,-3.287159443,-0.016113527,0.290043473,-2.223666668,-0.660654604,1.675806761
0.1755,-0.918471098,0.41895169,-0.789562821,-5.994232178,0.402838171,-1.69192028,-3.174364805,-0.225589365,0.225589365,-2.062531471,-0.499519348,1.385763288
0.18225,-0.999038696,0.43506521,-0.934584618,-6.219821453,0.032227054,-0.902357459,-3.109910727,-0.563973427,0.193362325,-1.901396275,-0.290043473,1.208514452
0.189,-1.079606295,0.41895169,-1.095719814,-6.139254093,-0.241702914,-0.161135271,-3.077683687,-0.805676341,0.128908217,-1.772487879,-0.096681163,1.095719814
0.19575,-1.176287413,0.370611101,-1.240741491,-5.913663864,-0.708995163,0.660654604,-2.932661772,-0.999038696,0.064454108,-1.659693241,0.048340581,0.966811657
0.2025,-1.28908217,0.45117873,-1.401876807,-5.720301628,-0.999038696,1.369649768,-2.465369463,-0.966811657,0.016113527,-1.530785084,0.112794682,0.789562821
0.20925,-1.450217366,0.692881644,-1.546898603,-5.317463875,-0.982925177,1.611352682,-1.965850353,-0.8540169,-0.032227054,-1.353536248,0.209475845,0.547859907
0.216,-1.756374359,0.886243939,-1.72414732,-4.592355251,-0.644541085,2.094758511,-1.482444406,-0.612313986,-0.048340581,-1.144060373,0.273929954,0.306156993
0.22275,-2.159212589,0.821789861,-2.078644991,-4.092835903,-0.708995163,2.852094173,-0.934584618,-0.241702914,-0.032227054,-0.902357459,0.306156993,0.096681163
0.2295,-2.51371026,0.612313986,-2.562050819,-3.980041027,-0.354497582,2.191439629,-0.563973427,0.048340581,0.048340581,-0.660654604,0.322270542,-0.064454108
0.23625,-2.642618418,0.273929954,-3.029343128,-3.109910727,0.950698137,0.531746387,-0.257816434,0.370611101,0.354497582,-0.370611101,0.290043473,-0.177248791
0.243,-2.658731937,0.032227054,-3.609429836,-3.383840561,2.12698555,0.225589365,0.161135271,0.87013042,0.773449302,-0.064454108,0.257816434,-0.257816434
0.24975,-2.803753614,-0.048340581,-4.30231142,-3.174364805,3.109910727,-0.290043473,0.338384062,0.966811657,1.063492775,0.209475845,0.225589365,-0.290043473
0.2565,-3.319386482,-0.177248791,-4.995193481,-2.304234266,4.092835903,0,0.499519348,0.886243939,1.208514452,0.402838171,0.161135271,-0.322270542
0.26325,-4.205630302,0.241702914,-5.720301628,-1.240741491,3.625543356,0.338384062,0.789562821,0.580086946,1.434103847,0.628427565,0.064454108,-0.306156993
0.27,-5.897550583,1.240741491,-6.397070408,-0.306156993,3.061570168,0.547859907,1.240741491,0.032227054,1.72414732,0.725108683,0,-0.273929954
0.27675,-7.815060616,1.659693241,-6.86436224,-0.483405828,1.853055716,1.224627972,1.788601398,-0.660654604,1.7080338,0.708995163,-0.032227054,-0.290043473
