Time,RTx,RTy,RTz,LTx,LTy,LTz,Px,Py,Pz,Tx,Ty,Tz
0,-0.676768124,-0.87013042,-5.929777622,-4.65680933,0.177248791,1.804714918,0.338384062,1.25685513,0.145021737,0.596200466,0.161135271,-0.112794682
0.00675,-0.789562821,-0.225589365,-5.381917953,-4.576241493,0.096681163,1.643579721,0.402838171,1.353536248,0.112794682,0.531746387,0.273929954,-0.161135271
0.0135,-1.853055716,-0.596200466,-3.77056551,-4.576241493,0.032227054,1.627466202,0.177248791,1.224627972,0.177248791,0.45117873,0.370611101,-0.193362325
0.02025,-3.496635199,-2.481482983,-1.176287413,-4.479560375,0.080567636,1.611352682,-0.225589365,1.015152216,0.8540169,0.354497582,0.41895169,-0.161135271
0.027,-3.335500002,-3.109910727,3.464408159,-4.270084381,0.338384062,1.627466202,-0.547859907,0.821789861,1.385763288,0.193362325,0.386724651,-0.064454108
0.03375,-5.043534279,-2.400915384,4.73737669,-3.931700706,0.757335782,1.482444406,-0.886243939,0.467292309,2.449255943,-0.032227054,0.306156993,0.193362325
0.0405,-6.058686256,-6.30038929,-1.643579721,-3.673884392,1.160173893,1.27296865,-1.127946854,0.161135271,3.109910727,-0.43506521,0.112794682,0.322270542
0.04725,-6.993270397,-5.704188347,-7.283313751,-3.577202797,1.353536248,0.805676341,-1.208514452,-0.048340581,3.077683687,-1.25685513,-0.145021737,0.741222203
0.054,-7.508903503,-0.386724651,-4.721263409,-3.561089277,1.305195689,0.257816434,-1.321309209,-0.209475845,2.062531471,-2.642618418,-0.241702914,1.659693241
0.06075,-4.2539711,1.192400932,-7.009384155,-3.351613522,1.305195689,0.128908217,-1.772487879,0.773449302,1.466330886,-5.043534279,-0.048340581,2.771526575
0.0675,-1.530785084,2.707072496,-4.318425179,-2.948775291,1.015152216,-0.225589365,-2.594277859,1.740260839,0.950698137,-6.364843369,1.063492775,3.81890583
0.07425,-0.032227054,-0.322270542,-3.786678791,-2.497596741,0.982925177,-0.612313986,-3.383840561,2.078644991,0.41895169,-5.156328678,1.530785084,3.577202797
0.081,2.835980654,-2.336461306,-4.479560375,-1.788601398,1.063492775,-0.8540169,-4.060608864,1.417990327,0.821789861,-3.158251286,1.127946854,3.206591845
0.08775,0.499519348,-1.546898603,-4.189517021,-0.934584618,1.208514452,-0.999038696,-5.107988358,0.290043473,1.498558044,-1.079606295,0.982925177,3.464408159
0.0945,-1.627466202,-0.338384062,-2.739299536,0.145021737,1.337422729,-1.095719814,-7.073838234,-1.482444406,1.69192028,-0.048340581,0.644541085,3.883359909
0.10125,-4.882398605,-1.095719814,-2.707072496,1.385763288,1.353536248,-1.176287413,-7.976195812,-2.868207693,1.514671564,-0.580086946,0.708995163,4.092835903
0.108,-6.058686256,-0.290043473,-2.884321213,2.094758511,1.595239162,-1.466330886,-6.928816319,-2.014190912,1.063492775,-2.030304432,1.047379255,3.867246628
0.11475,-3.158251286,-2.062531471,-3.367727041,1.933623314,1.337422729,-1.7080338,-5.54305315,-0.83790338,0.773449302,-3.641656876,1.28908217,3.722224712
0.1215,-2.175326109,-2.207553148,-3.512748718,1.353536248,1.015152216,-1.772487879,-4.173403263,-0.257816434,0.741222203,-4.930738926,1.305195689,3.528862238
0.12825,-3.528862238,-1.192400932,-3.029343128,0.612313986,0.87013042,-1.756374359,-3.496635199,0.064454108,0.708995163,-5.05964756,1.063492775,3.045456648
0.135,-5.285236835,-1.563012123,-2.981002331,0.177248791,0.83790338,-1.804714918,-3.4160676,0.145021737,0.692881644,-4.044495106,0.886243939,2.626504898
0.14175,-6.123140335,-1.901396275,-2.674845457,0.096681163,0.773449302,-1.836942196,-3.367727041,0.128908217,0.676768124,-3.109910727,0.902357459,2.433142424
0.1485,-7.089951515,-0.87013042,-1.450217366,0,0.692881644,-1.627466202,-3.577202797,0.257816434,0.612313986,-2.594277859,1.063492775,2.207553148
0.15525,-7.331655025,-0.193362325,-0.580086946,-0.177248791,0.676768124,-1.321309209,-3.754451752,0.499519348,0.531746387,-2.497596741,1.224627972,1.917509794
0.162,-7.702265739,0.241702914,-0.032227054,-0.467292309,0.692881644,-1.192400932,-3.512748718,0.612313986,0.515632868,-2.51371026,1.25685513,1.611352682
0.16875,-7.734493256,0.950698137,0.386724651,-0.773449302,0.918471098,-1.240741491,-3.045456648,0.757335782,0.467292309,-2.417028904,1.160173893,1.305195689
0.1755,-7.347768784,1.756374359,1.015152216,-0.982925177,0.918471098,-1.28908217,-2.610391378,0.757335782,0.483405828,-2.14309907,0.982925177,1.015152216
0.18225,-6.252048492,1.933623314,1.7080338,-0.966811657,0.83790338,-0.773449302,-2.417028904,0.644541085,0.402838171,-1.740260839,0.805676341,0.725108683
0.189,-5.124101639,1.675806761,2.159212589,-1.482444406,0.467292309,-0.83790338,-2.11087203,0.531746387,0.322270542,-1.321309209,0.660654604,0.483405828
0.19575,-4.028381824,1.192400932,2.368688345,-1.595239162,0.757335782,-1.047379255,-1.643579721,0.306156993,0.273929954,-0.982925177,0.531746387,0.257816434
