"Treatment","Step","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15"
"PRE",29,-741.613192,-412.0073603,-208.427253,-765.8490261,-728.1017893,-232.6629722,-227.8158178,-620.4346221,-1255.410629,-780.39041,-848.250431,-1299.034936,-664.0590033,-329.6058841,-290.8287285
"PRE",30,-814.3204293,-334.4530215,-184.1915182,-659.2117694,-701.8423566,-218.1215354,-213.2744074,-523.4916655,-1153.62057,-780.39041,-688.2946431,-959.734851,-610.7403838,-315.0644434,-276.2872828
"PRE",31,-896.7218873,-334.4530215,-184.1915248,-644.6703325,-580.0942152,-247.2044246,-319.9115758,-552.5745657,-770.696079,-615.5874588,-853.0975237,-1284.493465,-654.3646149,-397.465924,-586.5045497
"PRE",32,-974.2762172,-334.4530127,-184.1915248,-625.2817854,-570.5453523,-242.3572635,-237.5101399,-431.395945,-756.1546465,-576.8102938,-857.9447576,-974.2762879,-668.9060342,-450.7845076,-533.1860031
"PRE",33,-1240.869226,-407.160197,-276.2872828,-625.2817854,-670.8085587,-358.6887408,-208.4272436,-678.6003651,-731.9189714,-809.4732661,-780.3904276,-1061.524821,-552.574601,-319.9116155,-416.8545081
"PRE",34,-824.0147206,-407.160197,-276.2872828,-664.058862,-940.5643271,-324.7587523,-193.8858205,-504.1031271,-974.2762172,-809.4732661,-848.250431,-916.1103991,-702.8360712,-285.9815653,-484.7145137
"PRE",35,-1017.900572,-344.1473392,-159.9558056,-664.058862,-1079.023003,-353.8416128,-247.2044086,-562.2688569,-974.2762967,-848.2504664,-722.2246625,-1245.716372,-756.1546819,-363.5358864,-460.478843
"PRE",36,-770.6960304,-363.5359041,-184.1915293,-596.198894,-546.6731553,-184.1915337,-421.701625,-634.9760325,-925.8047963,-848.2504664,-765.8489731,-935.4990169,-688.2945902,-368.383032,-373.2301953
"PRE",37,-746.4603553,-363.5359041,-222.968681,-916.1103991,-685.131884,-193.8858161,-368.3830673,-465.3259445,-1318.423503,-809.4732925,-824.0147206,-838.5561619,-688.2945902,-334.4530127,-266.5930269
"PRE",38,-935.4990611,-344.1473127,-247.2044003,-916.1103991,-950.1131635,-256.8987048,-218.1215398,NA,-1255.410575,-814.3204205,-969.4291599,-896.7218519,-659.2117385,-392.6187623,-348.9944849
"PRE",39,-673.7531709,-348.9944584,-247.2044003,-649.5174782,-868.947683,-412.0073382,-169.6500968,NA,-1362.047832,-814.3204205,-756.1547039,-1076.066271,-659.2117385,-504.1031095,-155.1086423
"PRE",40,-901.5690594,-353.8416261,-179.3443836,-746.4604083,-771.0717122,-247.2044003,-285.9815608,NA,-1032.442,-596.1988763,-673.7532593,-1056.67771,-654.3646061,-285.9815962,-256.8987004
"PRE",41,-1173.009161,-378.0773321,-169.6500924,-746.4604083,-637.3874723,-271.4401461,-329.6058759,NA,-1323.270689,-727.0717993,-717.3774639,-1042.136221,-649.5174605,-353.8416305,-227.8158266
"PRE",42,-950.0405289,-387.7716322,-290.8287363,-824.0147206,-969.2109071,-285.9815918,-252.0515459,NA,-1303.88212,-727.0717993,-828.8619192,-790.0847365,-664.058915,-315.0644296,-242.3572723
"PRE",43,-1066.372024,-407.1602235,-290.8287363,-906.4161609,-1009.793612,-455.6316532,-276.287274,NA,-1323.270702,-610.7402867,-683.4474622,-1139.079111,-770.6960304,-300.5229933,-281.1344274
"PRE",44,-998.5119453,-407.1602235,-203.5800985,-906.4161609,-685.1318664,-271.440135,-213.2743986,NA,-804.6261204,-697.9888991,-761.0017745,-707.683261,-649.5174428,-256.8987004,-348.9944495
"PRE",45,-727.0717993,-378.0773321,-222.9687075,-819.167575,-673.195759,-281.1344241,-164.8029512,NA,-814.320447,-731.9189361,-639.8232399,-920.957633,-615.5874853,-334.4530127,-373.2302306
"PRE",46,-746.46032,-344.1473127,-222.9687075,-819.167575,-790.169491,-339.3001737,-232.6629943,NA,-1076.066258,-731.9189361,-799.7790101,-887.027596,-557.4217135,-528.3388552,-431.3959417
"PRE",47,-770.6960657,-397.4659411,-179.3443704,-596.1988609,-518.0265135,-363.535887,-256.8987224,NA,-896.7218343,-673.7532239,-712.5303889,-664.0589239,-649.5174782,-319.9115935,-319.9116111
"PRE",48,-853.0975767,-397.4659411,-276.2872674,-547.7274013,-931.0153847,-247.2044102,-252.0515547,NA,-814.3204205,-673.7532239,-712.5303889,-804.6260873,-649.5174782,-436.2430663,-252.0515724
"PRE",49,NA,NA,-276.2872674,NA,-599.1919499,-198.7329573,NA,NA,NA,-634.9760413,-828.8618309,-862.7919032,-538.0331509,-387.7716167,-668.906043
"POST",1,-346.1467071,-329.6058935,-169.6501056,-780.3904276,-761.5228404,-324.7587479,-203.5800941,-499.2559903,-1134.232077,-770.6961187,-712.5303889,-1008.206254,-489.5617079,-329.6058847,-213.2743897
"POST",2,-465.5077277,-348.9944672,-198.7329573,-702.8360977,-962.04924,-353.8416128,-189.0386793,-484.7145446,-940.3461802,-770.6961187,-765.8489599,-916.1104786,-557.4217643,-305.3701742,-232.6629855
"POST",3,-534.7370302,-353.8416128,-247.2044268,-601.0460661,-942.9514744,-174.4972419,-382.9244777,-460.4788165,-853.0976296,-693.1417711,-736.7660729,-809.4732661,-576.8103115,-295.6758742,-315.0644567
"POST",4,-544.2859726,-353.8416128,-169.6500924,-596.1988851,-725.7145713,-261.7458454,-382.9244777,-601.0460219,-887.027596,-765.8489908,-751.3075539,-988.8177777,-877.3333136,-358.6887584,-266.5930093
"POST",5,-482.2182356,-348.9944804,-232.6629722,-596.1988851,-718.5528822,-227.8158266,-315.0644213,-523.491692,-1022.747709,-765.8489908,-785.2375909,-780.3904276,-450.7845253,-256.8987004,-252.0515569
"POST",6,-475.0565553,-416.8545059,-237.5101179,-610.7403308,-962.0492886,-416.8545059,-198.7329573,-523.4917096,-1061.524838,-717.3775158,-717.3775522,-959.7347274,-1061.524856,-276.287274,-397.4659455
"POST",7,-420.1505283,-416.8545059,-237.5101179,-848.2505193,-1119.605673,-363.5359041,-392.6187866,-639.8231687,-1182.703426,-567.1160379,-761.0018407,-1027.594828,-450.78449,-208.4272397,-247.2044312
"POST",8,-513.2521394,-407.1602103,-189.0386611,-605.8931587,-785.3950551,-305.370161,-285.9815653,-751.3075186,-1051.830547,-678.6003519,-790.0846482,-901.5690594,-1177.856351,-266.5929916,-247.2044312
"POST",9,-551.4475911,-407.1602103,-164.8029335,-809.4732661,-945.33871,-242.3572635,-353.8416084,-625.2817589,-1226.327754,-785.2375556,-727.0718788,-867.6389782,-538.0331465,-193.8858337,-232.6629722
"POST",10,-518.0265223,-324.7587479,-203.5801029,-979.1234158,-685.131831,-358.6887496,-237.5101179,-746.4604083,-1008.206237,-785.2375556,-683.4474401,-673.7532328,-605.8931499,-382.9244866,-227.8158448
"POST",11,-446.4099312,-339.3001671,-203.5801029,-979.1234158,-983.5341794,-271.4401372,-222.9686854,-601.0459888,-1037.289128,-664.058915,-799.7789748,-790.0846836,-935.4990876,-387.7716498,-227.8158448
"POST",12,-589.6430782,-339.3001671,-189.0386749,-814.3205,-732.8762251,-397.4659146,-271.4401549,-508.9502463,-1013.053382,-664.058915,-659.2118047,-925.8047522,-634.9760413,-222.9686987,-252.0515371
"POST",13,-477.443782,-402.313069,-159.9557967,-693.1417888,-1000.244776,-353.841615,-392.6187778,-683.4474799,-993.6648086,-741.6132803,-741.6132091,-1032.441964,-489.5616903,-348.9944893,-242.3572635
"POST",14,-439.2483127,-431.3959428,-242.3572856,-765.8489908,-821.2033242,-445.9373797,-222.9686987,-736.7660376,-1080.913421,-741.6132803,-736.7660812,-920.957686,-513.7974007,-261.7458548,-242.3572723
"POST",15,-379.5678112,-431.3959428,-184.1915204,-770.6961187,-599.1919499,-315.0644296,-290.8287285,-630.1288957,-935.4990346,-581.657435,-775.543335,-809.4732661,-736.7660464,-382.9244777,-242.3572723
"POST",16,-405.8272229,-334.4530392,-184.1915204,-770.6961187,-587.2558602,-397.4659146,-382.9245042,-523.4917185,-993.6648615,-649.5174914,-741.6132141,-1114.843405,-455.6316179,-397.4659234,-281.1344483
"POST",17,-372.4061751,-353.8416128,-227.8158255,-775.5432997,-792.5567089,-348.994465,-247.2044091,-630.1288868,-1037.289057,-770.6961011,-770.6962424,-901.5690417,-552.574548,-460.47879,-281.1344483
"POST",18,-422.5377739,-387.7716233,-227.8158255,-775.5432997,-916.6921124,-310.2173022,-324.7587567,-688.2946608,-1148.773442,-770.6961011,-770.6961011,-843.4032678,-615.5874411,-407.1601882,-237.5101134
"POST",19,-412.9888977,-387.7716233,-193.8858117,-630.1288957,-897.5943336,-290.8287285,-348.9944495,-693.1417711,-1056.67771,-707.6832433,-770.6961011,-1095.454818,-911.2633595,-271.4401372,-237.5101134
