"Treatment","Step","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15"
"PRE",29,-3.697113752,-5.267569542,-4.384188175,-5.300287247,-7.363882065,-4.187880993,-3.500806808,-1.897633791,-3.075475454,-6.118233204,-2.584707975,-3.664396048,-3.795267582,-3.140911102,-1.930351615
"PRE",30,-3.20634675,-4.711366177,-4.645930767,-4.940391064,-7.106065273,-5.202133656,-3.369935751,-2.159376144,-2.879168272,-5.562029839,-2.159376144,-3.5989604,-5.823771954,-3.337217808,-2.159376144
"PRE",31,-2.748296976,-4.089727879,-4.057010174,-4.842237473,-6.606545925,-4.220599174,-3.631678104,-1.701326728,-3.5989604,-6.020079136,-3.664396048,-2.879168272,-4.547777176,-3.468089104,-1.210559368
"PRE",32,-4.318752289,-4.874955654,-4.645930767,-4.842237473,-6.622659683,-5.038544655,-2.911885977,-2.12665844,-3.042757511,-6.216386318,-2.748296976,-3.304500103,-5.169415951,-2.94460392,-1.341430664
"PRE",33,-4.057010174,-4.711366177,-4.024291992,-4.809519768,-5.962004662,-5.169415951,-3.631678104,-1.766762376,-3.108193159,-5.987361431,-2.486554384,-3.337217808,-4.351469994,-3.042757511,-1.7994802
"PRE",34,-3.27178216,-4.907673359,-3.958856583,-4.776802063,-7.26720047,-4.547777176,-3.075475454,-1.864915967,-3.697113752,-5.365722656,-3.20634675,-3.762549639,-5.88920784,-2.781014919,-1.766762376
"PRE",35,-3.173628807,-4.613213062,-3.795267582,-5.136698246,-6.86436224,-5.300287247,-3.566242456,-1.734044552,-3.566242456,-5.234851837,-2.584707975,-3.20634675,-4.678648472,-2.813732624,-2.028505087
"PRE",36,-3.010039568,-4.547777176,-5.365722656,-5.136698246,-7.057724476,-4.384188175,-3.27178216,-1.668608904,-3.468089104,-6.216386318,-2.977321625,-3.566242456,-6.020079136,-2.486554384,-1.864915967
"PRE",37,-2.748296976,-4.482341766,-3.86070323,-4.907673359,-6.86436224,-4.842237473,-3.337217808,-1.734044552,-2.879168272,-6.085515022,-2.12665844,-3.010039568,-5.038544655,-2.813732624,-2.519272327
"PRE",38,-3.893420935,-5.431158543,-4.711366177,-5.169415951,-6.622659683,-5.987361431,-3.108193159,NA,-3.108193159,-5.725618839,-2.486554384,-3.239064455,-5.660182953,-2.911885977,-1.897633791
"PRE",39,-2.781014919,-4.416906357,-4.776802063,-5.594747543,-6.235935211,-4.678648472,-3.075475454,NA,-3.173628807,-5.921925545,-2.159376144,-4.089727879,-5.300287247,-3.337217808,-2.12665844
"PRE",40,-3.108193159,-4.286034584,-4.711366177,-5.594747543,-6.316502571,-4.089727879,-3.533524752,NA,-4.482341766,-5.234851837,-2.650143623,-4.024291992,-5.95464325,-2.879168272,-2.421118736
"PRE",41,-3.697113752,-4.973108768,-3.369935751,-5.431158543,-5.849209785,-4.253316879,-3.010039568,NA,-4.351469994,-5.431158543,-2.093940496,-2.846450567,-5.267569542,-2.617425919,-2.093940496
"PRE",42,-3.140911102,-3.762549639,-3.958856583,-5.038544655,-6.090913296,-4.187880993,-3.173628807,NA,-3.435371399,-5.88920784,-3.010039568,-2.813732624,-5.431158543,-3.108193159,-2.453836679
"PRE",43,-3.402653456,-3.762549639,-3.958856583,-5.267569542,-6.155367374,-4.613213062,-3.042757511,NA,-3.304500103,-6.150950909,-2.290247679,-3.795267582,-5.07126236,-3.369935751,-2.12665844
"PRE",44,-2.781014919,-3.991574287,-4.024291992,-5.333004951,-6.074800014,-4.351469994,-3.140911102,NA,-3.173628807,-5.987361431,-2.12665844,-3.369935751,-5.333004951,-2.846450567,-2.257529736
"PRE",45,-3.239064455,-4.155163288,-4.286034584,-5.529312134,-6.090913296,-4.318752289,-3.173628807,NA,-3.20634675,-5.431158543,-2.453836679,-2.682861328,-4.809519768,-3.173628807,-1.7994802
"PRE",46,-2.846450567,-4.678648472,-4.155163288,-5.529312134,-7.057724476,-3.762549639,-3.010039568,NA,-3.402653456,-6.052796841,-2.551990271,-3.566242456,-5.005826473,-3.337217808,-2.257529736
"PRE",47,-3.926138639,-4.678648472,-4.155163288,-5.005826473,-5.833096504,-4.089727879,-3.010039568,NA,-3.108193159,-6.085515022,-2.617425919,-3.239064455,-5.660182953,-3.042757511,-1.374148488
"PRE",48,-2.879168272,-4.940391064,-4.416906357,-5.005826473,-7.299427509,-5.202133656,-2.94460392,NA,-4.155163288,-5.07126236,-2.715579271,-3.337217808,-4.973108768,-2.846450567,-2.159376144
"PRE",49,NA,NA,-4.416906357,NA,-5.623620987,-4.122445583,NA,NA,NA,-6.412693501,-2.715579271,-2.486554384,-5.07126236,-3.108193159,-1.832198024
"POST",1,-7.460563183,-2.977321625,-4.580495358,-4.809519768,-7.847287655,-3.893420935,-3.304500103,-1.864915967,-2.911885977,-5.594747543,-2.486554384,-3.304500103,-3.893420935,-3.173628807,-2.682861328
"POST",2,-6.86436224,-3.010039568,-3.697113752,-4.809519768,-7.943968773,-3.958856583,-3.86070323,-1.897633791,-3.664396048,-5.463876247,-3.173628807,-3.468089104,-4.155163288,-2.813732624,-4.089727879
"POST",3,-7.54113102,-3.173628807,-5.07126236,-4.613213062,-7.234973431,-3.369935751,-3.697113752,-1.734044552,-4.547777176,-6.347257614,-1.930351615,-3.468089104,-4.057010174,-3.468089104,-3.664396048
"POST",4,-7.58947134,-3.173628807,-4.842237473,-4.678648472,-7.766719818,-4.220599174,-3.369935751,-1.832198024,-3.958856583,-4.940391064,-2.453836679,-2.94460392,-3.697113752,-3.075475454,-5.463876247
"POST",5,-7.283313751,-2.846450567,-4.711366177,-4.515059471,-7.62169838,-3.697113752,-3.5989604,-1.995787144,-4.874955654,-5.398440838,-2.617425919,-3.173628807,-4.744084358,-3.337217808,-2.781014919
"POST",6,-7.766719818,-3.533524752,-4.613213062,-5.005826473,-7.863401413,-3.827985287,-3.566242456,-1.96306932,-4.318752289,-6.183668613,-2.813732624,-3.664396048,-5.202133656,-3.500806808,-2.650143623
"POST",7,-6.107027054,-3.500806808,-4.874955654,-4.809519768,-7.605585098,-3.893420935,-3.304500103,-1.668608904,-3.893420935,-5.791054249,-2.748296976,-3.991574287,-4.580495358,-3.27178216,-2.94460392
"POST",8,-7.798947334,-3.697113752,-4.711366177,-4.547777176,-7.58947134,-4.122445583,-3.075475454,-1.766762376,-4.384188175,-5.398440838,-3.108193159,-3.631678104,-4.220599174,-3.20634675,-3.108193159
"POST",9,-7.525017262,-3.239064455,-4.744084358,-4.613213062,-7.798947334,-3.893420935,-3.075475454,-1.63589108,-3.631678104,-5.660182953,-2.257529736,-2.911885977,-4.220599174,-2.748296976,-3.435371399
"POST",10,-7.379995346,-2.159376144,-4.416906357,-4.613213062,-7.798947334,-3.893420935,-3.108193159,-1.537737727,-3.762549639,-5.856490135,-4.220599174,-3.369935751,-4.580495358,-2.617425919,-3.075475454
"POST",11,-7.508903503,-2.813732624,-4.187880993,-4.580495358,-7.766719818,-4.122445583,-3.402653456,-1.668608904,-3.762549639,-5.725618839,-2.355683088,-3.010039568,-4.482341766,-3.239064455,-2.879168272
"POST",12,-7.170519352,-2.813732624,-4.515059471,-4.482341766,-7.895627975,-3.697113752,-3.369935751,-1.63589108,-3.337217808,-5.496593952,-2.192094088,-3.369935751,-4.940391064,-2.453836679,-3.729831934
"POST",13,-6.977157116,-3.108193159,-4.547777176,-5.202133656,-7.331655025,-4.155163288,-3.729831934,-1.603173375,-2.519272327,-5.07126236,-3.173628807,-3.500806808,-3.958856583,-3.5989604,-4.416906357
"POST",14,-6.944930077,-2.846450567,-4.384188175,-4.711366177,-7.831173897,-3.762549639,-3.304500103,-1.897633791,-4.678648472,-5.987361431,-2.911885977,-3.369935751,-4.874955654,-2.94460392,-2.715579271
"POST",15,-7.154405594,-2.94460392,-4.416906357,-4.744084358,-7.718379498,-4.318752289,-3.566242456,-1.734044552,-4.842237473,-5.692901134,-2.028505087,-3.27178216,-5.169415951,-2.977321625,-2.551990271
"POST",16,-7.218859673,-2.650143623,-4.416906357,-4.744084358,-7.750606537,-3.631678104,-3.27178216,-1.734044552,-4.089727879,-5.496593952,-3.566242456,-3.893420935,-4.187880993,-2.584707975,-3.075475454
"POST",17,-7.122178555,-3.140911102,-4.057010174,-4.580495358,-7.525017262,-3.926138639,-3.27178216,-1.439584136,-4.809519768,-6.314539909,-2.715579271,-3.402653456,-6.216386318,-2.911885977,-1.832198024
"POST",18,-7.073838234,-2.715579271,-4.449624062,-4.089727879,-7.943968773,-3.631678104,-3.729831934,-1.7994802,-4.089727879,-6.020079136,-3.20634675,-3.827985287,-4.057010174,-3.304500103,-3.042757511
"POST",19,-7.073838234,-2.781014919,-4.678648472,-4.547777176,-7.122178555,-3.795267582,-3.173628807,-1.897633791,-4.024291992,-5.987361431,-3.239064455,-3.468089104,-5.365722656,-3.042757511,-3.533524752
"POST",20,-7.637811661,-2.453836679,-4.253316879,-4.547777176,-7.798947334,-4.089727879,-3.369935751,-1.995787144,-3.827985287,-6.150950909,-2.617425919,-3.991574287,-5.07126236,-2.748296976,-3.108193159
"POST",21,-7.315541267,-2.911885977,-5.267569542,-5.103980541,-7.251086712,-4.187880993,-3.20634675,-1.63589108,-4.482341766,-5.463876247,-2.322965384,-2.846450567,-4.645930767,-3.042757511,-3.140911102
