"Stride","Phase","Stride.Time","Time","RTx","RTy","RTz","LTx","LTy","LTz","Px","Py","Pz","Tx","Ty","Tz"
1,1,0,0,0.556203008,-0.425331682,-4.220599174,-3.729831934,0.065435641,1.734044552,0.229024753,1.145123839,0,1.177841544,-0.065435641,0.229024753
1,1,0.00675,0.00675,-0.098153472,-0.229024753,-3.402653456,-3.533524752,0.03271782,1.766762376,-0.098153472,1.603173375,-0.065435641,1.243277192,0.065435641,0.229024753
1,1,0.0135,0.0135,-1.439584136,-0.916099012,-3.566242456,-3.369935751,-0.03271782,1.897633791,-0.523485124,1.603173375,0.588920772,1.210559368,0.16358912,0.359896034
1,1,0.02025,0.02025,-3.697113752,-0.098153472,0.556203008,-3.239064455,-0.130871281,1.96306932,-0.850663364,0.98153466,1.046970248,1.079688072,0.261742562,0.49076733
1,1,0.027,0.027,-4.286034584,-0.49076733,1.63589108,-3.108193159,-0.261742562,1.995787144,-1.112406015,0.523485124,1.537737727,0.916099012,0.261742562,0.588920772
1,1,0.03375,0.03375,-2.94460392,-1.63589108,-1.570455551,-2.977321625,-0.392613888,1.96306932,-1.177841544,0.458049506,1.47230196,0.65435648,0.16358912,0.719792068
1,1,0.0405,0.0405,-2.813732624,-2.781014919,-3.729831934,-2.781014919,-0.458049506,1.897633791,-0.850663364,0.392613888,1.308712959,0.098153472,-0.03271782,0.98153466
1,1,0.04725,0.04725,-3.010039568,-0.16358912,-2.093940496,-2.486554384,-0.425331682,1.766762376,-0.458049506,0.32717824,1.046970248,-1.145123839,0,1.864915967
1,1,0.054,0.054,-1.63589108,-0.883381188,-1.014252543,-2.061222792,-0.425331682,1.603173375,-0.196306944,0.098153472,0.785227776,-3.664396048,1.014252543,2.355683088
1,1,0.06075,0.06075,1.046970248,-1.668608904,-2.028505087,-1.63589108,-0.458049506,1.406866312,-0.359896034,-0.32717824,0.850663364,-3.140911102,1.603173375,0.98153466
1,1,0.0675,0.0675,3.762549639,0.32717824,-0.916099012,-1.210559368,-0.49076733,1.112406015,-0.752509892,-0.850663364,0.785227776,-1.439584136,0.916099012,0.81794554
1,1,0.07425,0.07425,2.748296976,-0.81794554,-1.374148488,-0.81794554,-0.458049506,0.785227776,-1.243277192,-1.243277192,0.719792068,-0.32717824,0.556203008,1.341430664
1,1,0.081,0.081,0.98153466,-0.916099012,-1.210559368,-0.621638596,-0.458049506,0.49076733,-1.930351615,-1.374148488,0.621638596,0.32717824,0.392613888,1.570455551
1,1,0.08775,0.08775,-1.243277192,0.294460386,-0.588920772,0,-0.850663364,0.458049506,-2.093940496,-1.112406015,0.621638596,0.130871281,0.16358912,1.701326728
1,1,0.0945,0.0945,-2.519272327,0.065435641,-0.65435648,1.112406015,-1.275995135,0.523485124,-1.7994802,-0.65435648,0.65435648,-0.81794554,0.294460386,1.603173375
1,1,0.10125,0.10125,-1.046970248,-0.588920772,-1.308712959,2.388401031,-1.177841544,0.458049506,-1.668608904,-0.130871281,0.621638596,-1.505019784,0.523485124,1.570455551
1,1,0.108,0.108,0.03271782,-0.425331682,-1.341430664,2.813732624,-0.785227776,0.294460386,-1.832198024,0.16358912,0.425331682,-1.63589108,0.785227776,1.47230196
1,1,0.11475,0.11475,-0.261742562,-0.425331682,-1.210559368,2.12665844,-0.785227776,0.261742562,-2.093940496,0.32717824,0.229024753,-1.63589108,0.98153466,1.47230196
1,1,0.1215,0.1215,-1.145123839,-0.752509892,-0.850663364,1.145123839,-1.046970248,0.229024753,-2.290247679,0.359896034,0.098153472,-1.537737727,0.98153466,1.406866312
1,1,0.12825,0.12825,-2.061222792,-1.145123839,-0.621638596,0.785227776,-1.243277192,0.229024753,-2.192094088,0.261742562,0.098153472,-1.406866312,0.850663364,1.308712959
1,1,0.135,0.135,-2.682861328,-1.014252543,-0.621638596,0.621638596,-1.275995135,0.261742562,-1.897633791,0.229024753,0.16358912,-1.275995135,0.687074244,1.243277192
1,1,0.14175,0.14175,-2.813732624,-0.523485124,-0.785227776,0.294460386,-1.177841544,0.392613888,-1.603173375,0.261742562,0.196306944,-1.145123839,0.588920772,1.177841544
1,1,0.1485,0.1485,-3.042757511,0.065435641,-0.883381188,-0.098153472,-1.112406015,0.523485124,-1.47230196,0.294460386,0.196306944,-1.112406015,0.588920772,1.145123839
1,1,0.15525,0.15525,-3.173628807,0.261742562,-0.850663364,-0.392613888,-1.014252543,0.523485124,-1.47230196,0.359896034,0.098153472,-1.145123839,0.621638596,1.046970248
1,1,0.162,0.162,-3.27178216,0.49076733,-0.425331682,-0.556203008,-0.98153466,0.425331682,-1.47230196,0.32717824,0.065435641,-1.177841544,0.687074244,0.916099012
1,1,0.16875,0.16875,-3.337217808,0.65435648,0.229024753,-0.621638596,-0.948816895,0.425331682,-1.308712959,0.32717824,0.065435641,-1.079688072,0.719792068,0.719792068
1,1,0.1755,0.1755,-3.402653456,0.98153466,0.785227776,-0.687074244,-0.81794554,0.359896034,-1.145123839,0.261742562,0.098153472,-0.883381188,0.719792068,0.621638596
1,1,0.18225,0.18225,-3.369935751,1.308712959,1.308712959,-0.785227776,-0.752509892,0.229024753,-0.719792068,0.16358912,0.196306944,-0.65435648,0.687074244,0.523485124
1,1,0.189,0.189,-3.140911102,1.275995135,1.701326728,-0.916099012,-0.785227776,0.130871281,-0.392613888,0.03271782,0.16358912,-0.392613888,0.687074244,0.425331682
1,1,0.19575,0.19575,-2.715579271,0.948816895,1.7994802,-1.014252543,-0.948816895,0,-0.098153472,-0.130871281,0.130871281,-0.130871281,0.65435648,0.359896034
1,1,0.2025,0.2025,-2.551990271,0.556203008,1.96306932,-1.210559368,-1.112406015,-0.098153472,0.130871281,-0.261742562,0.32717824,0.098153472,0.588920772,0.261742562
1,1,0.20925,0.20925,-2.781014919,-0.32717824,2.224812031,-1.439584136,-1.145123839,-0.392613888,0.32717824,-0.392613888,0.458049506,0.32717824,0.556203008,0.196306944
1,1,0.216,0.216,-2.551990271,-1.505019784,1.766762376,-1.570455551,-1.275995135,-0.719792068,0.392613888,-0.294460386,0.588920772,0.523485124,0.523485124,0.16358912
1,1,0.22275,0.22275,-1.308712959,-1.995787144,0.49076733,-1.603173375,-1.308712959,-1.014252543,0.458049506,-0.130871281,0.785227776,0.719792068,0.49076733,0.098153472
1,1,0.2295,0.2295,-1.014252543,-2.12665844,-0.687074244,-1.63589108,-1.177841544,-1.439584136,0.49076733,0.130871281,0.916099012,0.850663364,0.425331682,0.03271782
1,1,0.23625,0.23625,-1.734044552,-1.243277192,-0.425331682,-1.766762376,-0.850663364,-1.930351615,0.556203008,0.425331682,1.046970248,0.883381188,0.32717824,-0.03271782
1,1,0.243,0.243,-2.94460392,-0.785227776,-1.014252543,-2.093940496,-0.556203008,-2.421118736,0.65435648,0.752509892,1.243277192,0.785227776,0.261742562,-0.065435641
1,1,0.24975,0.24975,-2.12665844,-0.687074244,0.098153472,-2.682861328,-0.458049506,-2.781014919,0.948816895,1.014252543,1.145123839,0.65435648,0.196306944,-0.130871281
1,1,0.2565,0.2565,-2.355683088,0.196306944,1.112406015,-3.435371399,-1.112406015,-3.042757511,1.439584136,1.177841544,0.81794554,0.458049506,0.229024753,-0.130871281
1,1,0.26325,0.26325,-2.584707975,0.03271782,1.406866312,-3.827985287,-2.12665844,-3.533524752,1.930351615,1.210559368,0.294460386,0.229024753,0.261742562,0
1,1,0.27,0.27,-2.879168272,0.065435641,1.63589108,-4.416906357,-2.421118736,-4.580495358,2.257529736,1.145123839,0.098153472,0.03271782,0.294460386,0.130871281
1,1,0.27675,0.27675,-3.173628807,-0.03271782,1.734044552,-5.725618839,-2.159376144,-5.300287247,2.290247679,0.98153466,0.32717824,-0.098153472,0.359896034,0.261742562
1,1,0.2835,0.2835,-3.108193159,-0.03271782,1.734044552,-2.290247679,-1.243277192,-5.333004951,2.028505087,0.752509892,0.523485124,-0.098153472,0.425331682,0.32717824
1,1,0.29025,0.29025,-3.108193159,-0.03271782,1.701326728,-1.341430664,-1.014252543,-4.809519768,1.734044552,0.621638596,0.752509892,0.03271782,0.523485124,0.294460386
1,1,0.297,0.297,-3.304500103,-0.065435641,1.701326728,-2.584707975,-1.668608904,-4.907673359,1.47230196,0.294460386,0.458049506,0.294460386,0.621638596,0.196306944
1,1,0.30375,0.30375,-3.697113752,0.130871281,1.63589108,-0.81794554,-2.94460392,-4.580495358,1.374148488,-0.229024753,0.392613888,0.588920772,0.719792068,0.098153472
