"Stride","Phase","Stride.Time","Time","RTx","RTy","RTz","LTx","LTy","LTz","Px","Py","Pz","Tx","Ty","Tz"
1,1,0,0,-0.621638596,-2.748296976,-4.220599174,-1.930351615,-0.294460386,1.832198024,0.49076733,0.785227776,0.065435641,0.556203008,0.458049506,0.588920772
1,1,0.00675,0.00675,0.294460386,-6.281822205,-6.281822205,-1.734044552,-0.392613888,1.832198024,0.03271782,0.49076733,0.32717824,0.261742562,0.425331682,0.556203008
1,1,0.0135,0.0135,-0.948816895,-5.725618839,-4.220599174,-1.537737727,-0.32717824,1.668608904,-0.425331682,-0.196306944,1.112406015,-0.229024753,0.425331682,0.719792068
1,1,0.02025,0.02025,-5.856490135,0.785227776,-2.715579271,-1.341430664,-0.261742562,1.341430664,-0.850663364,-0.196306944,1.275995135,-0.785227776,0.588920772,1.275995135
1,1,0.027,0.027,-6.118233204,5.594747543,0,-1.177841544,-0.098153472,1.046970248,-1.210559368,0.294460386,1.046970248,-1.112406015,0.719792068,1.537737727
1,1,0.03375,0.03375,-2.093940496,7.72140646,-0.883381188,-1.079688072,-0.065435641,0.98153466,-1.570455551,0.556203008,0.98153466,-1.308712959,0.883381188,1.766762376
1,1,0.0405,0.0405,1.210559368,0.948816895,-0.850663364,-0.98153466,-0.130871281,0.883381188,-2.486554384,1.308712959,0.752509892,-1.701326728,0.916099012,2.12665844
1,1,0.04725,0.04725,2.781014919,0.03271782,-0.81794554,-0.752509892,-0.16358912,0.81794554,-2.813732624,1.47230196,0.130871281,-1.603173375,0.719792068,2.028505087
1,1,0.054,0.054,0.196306944,-0.130871281,-2.388401031,0.359896034,-0.098153472,0.81794554,-2.519272327,0.785227776,0.16358912,-0.916099012,0.425331682,1.864915967
1,1,0.06075,0.06075,-0.556203008,0.065435641,-2.093940496,2.224812031,0.261742562,0.65435648,-2.715579271,-0.130871281,0.130871281,-0.196306944,0.425331682,1.897633791
1,1,0.0675,0.0675,-0.850663364,-0.621638596,-0.719792068,4.351469994,0.03271782,0.359896034,-2.551990271,-0.65435648,0.16358912,-0.229024753,0.556203008,2.093940496
1,1,0.07425,0.07425,-1.995787144,0.261742562,-0.458049506,4.842237473,-1.112406015,0.523485124,-2.093940496,-0.65435648,0.065435641,-0.850663364,0.687074244,2.257529736
1,1,0.081,0.081,-3.173628807,-0.130871281,-0.81794554,2.551990271,-1.341430664,0.523485124,-1.930351615,-0.523485124,-0.130871281,-1.734044552,0.81794554,2.355683088
1,1,0.08775,0.08775,-2.911885977,0.556203008,-1.701326728,0.32717824,-1.275995135,0.425331682,-2.028505087,-0.556203008,-0.261742562,-2.355683088,0.948816895,2.224812031
1,1,0.0945,0.0945,-1.7994802,0.883381188,-0.883381188,-0.130871281,-1.079688072,0.261742562,-2.192094088,-0.523485124,-0.425331682,-2.355683088,1.046970248,1.995787144
1,1,0.10125,0.10125,-2.192094088,0.392613888,-0.719792068,-0.098153472,-0.687074244,0.196306944,-2.257529736,-0.425331682,-0.458049506,-1.7994802,1.145123839,1.7994802
