"Stride","Phase","Stride.Time","Time","RTx","RTy","RTz","LTx","LTy","LTz","Px","Py","Pz","Tx","Ty","Tz"
1,1,0,0,0.458049506,-0.458049506,-4.645930767,-3.042757511,-0.458049506,1.766762376,0.98153466,0.03271782,0.03271782,1.505019784,-0.03271782,0.425331682
1,1,0.00675,0.00675,1.537737727,0.719792068,-4.547777176,-3.010039568,-0.49076733,1.766762376,0.916099012,0.03271782,0.098153472,1.308712959,-0.03271782,0.392613888
1,1,0.0135,0.0135,1.243277192,1.145123839,-4.122445583,-2.911885977,-0.458049506,1.570455551,0.850663364,0.16358912,0.16358912,0.98153466,-0.065435641,0.425331682
1,1,0.02025,0.02025,0.556203008,1.47230196,-3.729831934,-2.813732624,-0.49076733,1.406866312,0.81794554,0.359896034,0.196306944,0.719792068,-0.065435641,0.458049506
1,1,0.027,0.027,0.229024753,1.243277192,-3.533524752,-2.748296976,-0.425331682,1.145123839,0.785227776,0.49076733,0.196306944,0.458049506,-0.065435641,0.49076733
1,1,0.03375,0.03375,0.196306944,-2.453836679,-6.052796841,-2.748296976,-0.425331682,1.046970248,0.556203008,0.359896034,0.81794554,0.229024753,-0.03271782,0.588920772
1,1,0.0405,0.0405,-2.322965384,-6.314539909,-5.758336544,-2.682861328,-0.523485124,0.948816895,0.359896034,-0.03271782,1.47230196,-0.03271782,0.098153472,0.719792068
1,1,0.04725,0.04725,-5.234851837,-3.533524752,1.96306932,-2.715579271,-0.621638596,0.81794554,0.261742562,-0.229024753,1.897633791,-0.458049506,0.261742562,0.719792068
1,1,0.054,0.054,-4.744084358,1.505019784,3.337217808,-2.715579271,-0.719792068,0.588920772,0.32717824,-0.229024753,1.701326728,-1.439584136,-0.130871281,0.687074244
1,1,0.06075,0.06075,-2.290247679,1.112406015,1.308712959,-2.584707975,-0.719792068,0.359896034,0.32717824,-0.098153472,1.7994802,-3.435371399,-0.916099012,0.785227776
1,1,0.0675,0.0675,2.192094088,6.183668613,-3.468089104,-2.224812031,-0.687074244,0.32717824,-0.556203008,0.32717824,1.63589108,-3.108193159,1.177841544,1.210559368
1,1,0.07425,0.07425,2.551990271,2.551990271,-5.365722656,-1.668608904,-0.719792068,0.359896034,-1.112406015,0.294460386,1.275995135,-0.81794554,1.930351615,1.275995135
1,1,0.081,0.081,-0.294460386,3.010039568,-2.551990271,-1.177841544,-0.752509892,0.32717824,-1.505019784,-0.196306944,1.210559368,0.196306944,1.897633791,1.603173375
1,1,0.08775,0.08775,-1.406866312,2.781014919,-2.453836679,-0.81794554,-0.81794554,0.196306944,-4.645930767,-0.392613888,1.014252543,0.523485124,1.832198024,1.701326728
1,1,0.0945,0.0945,-1.570455551,1.341430664,-2.322965384,-0.687074244,-0.65435648,-0.03271782,-4.645930767,-0.687074244,0.65435648,0,1.570455551,2.12665844
