Treatment,Step,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,,,,,,,,,,,,,,,,
PRE,25,-5.398440838,-3.664396048,-3.926138639,-5.267569542,-8.008422852,-4.122445583,-4.482341766,-4.809519768,-5.791054249,-6.54356432,-6.085515022,-5.562029839,-5.725618839,-4.744084358,-4.613213062,,,,,,,,,,,,,,,,
PRE,26,-5.562029839,-3.729831934,-4.580495358,-5.660182953,-7.670039177,-4.122445583,-4.416906357,-5.005826473,-5.562029839,-6.54356432,-6.281822205,-5.038544655,-5.725618839,-4.776802063,-4.645930767,,,,,,,,,,,,,,,,
PRE,27,-5.496593952,-3.729831934,-5.136698246,-5.725618839,-8.15344429,-4.253316879,-4.482341766,-4.973108768,-5.660182953,-6.412693501,-6.281822205,-6.052796841,-5.725618839,-4.547777176,-4.645930767,,,,,,,,,,,,,,,,
PRE,28,-5.431158543,-3.762549639,-5.136698246,-5.725618839,-8.105104446,-4.187880993,-4.580495358,-5.169415951,-4.940391064,-6.412693501,-5.791054249,-5.987361431,-5.823771954,-4.580495358,-4.547777176,,,,,,,,,,,,,,,,
PRE,29,-4.940391064,-3.795267582,-4.155163288,-5.921925545,-7.686152458,-4.318752289,-4.613213062,-5.136698246,-5.038544655,-6.412693501,-5.987361431,-6.020079136,-5.823771954,-4.580495358,-3.991574287,,,,,,,,,,,,,,,,
PRE,30,-5.333004951,-4.024291992,-4.155163288,-5.921925545,-7.99230957,-3.762549639,-4.580495358,-5.07126236,-5.562029839,-6.445411205,-6.052796841,-6.216386318,-5.496593952,-4.678648472,-4.057010174,,,,,,,,,,,,,,,,
PRE,31,-5.725618839,-4.024291992,-4.122445583,-5.529312134,-7.815060616,-4.449624062,-4.678648472,-4.973108768,-5.496593952,-6.609000206,-6.052796841,-6.052796841,-5.496593952,-4.449624062,-4.613213062,,,,,,,,,,,,,,,,
PRE,32,-5.202133656,-3.926138639,-4.678648472,-5.529312134,-7.508903503,-4.286034584,-4.580495358,-5.07126236,-5.431158543,-6.609000206,-5.562029839,-6.183668613,-5.692901134,-4.416906357,-4.449624062,,,,,,,,,,,,,,,,
PRE,33,-5.496593952,-3.926138639,-4.711366177,-5.627465248,-7.508903503,-3.926138639,-4.515059471,-4.940391064,-5.038544655,-6.445411205,-6.020079136,-5.856490135,-5.692901134,-4.416906357,-4.384188175,,,,,,,,,,,,,,,,
PRE,34,-5.627465248,-3.827985287,-4.711366177,-5.627465248,-8.008422852,-3.86070323,-4.613213062,-5.038544655,-5.921925545,-6.576282501,-6.020079136,-5.987361431,-6.118233204,-4.449624062,-4.220599174,,,,,,,,,,,,,,,,
PRE,35,-5.627465248,-3.86070323,-4.253316879,-5.463876247,-7.831173897,-4.024291992,-4.613213062,-5.463876247,-4.907673359,-6.576282501,-6.085515022,-6.183668613,-6.118233204,-4.416906357,-4.089727879,,,,,,,,,,,,,,,,
PRE,36,-5.627465248,-3.86070323,-4.645930767,-5.267569542,-7.283313751,-3.991574287,-4.416906357,-4.973108768,-5.791054249,-6.412693501,-6.2491045,-5.692901134,-5.758336544,-4.449624062,-4.155163288,,,,,,,,,,,,,,,,
PRE,37,-5.791054249,-3.926138639,-4.645930767,-5.365722656,-7.637811661,-4.024291992,-4.580495358,-4.907673359,-5.692901134,-6.412693501,-6.216386318,-5.594747543,-5.431158543,-4.613213062,-4.122445583,,,,,,,,,,,,,,,,
PRE,38,-5.463876247,-3.926138639,-3.958856583,-5.431158543,-7.557244301,-3.795267582,-4.547777176,NaN,-5.594747543,-6.412693501,-5.823771954,-5.594747543,-5.267569542,-5.234851837,-4.318752289,,,,,,,,,,,,,,,,
PRE,39,-5.529312134,-3.827985287,-4.024291992,-5.791054249,-7.879514694,-4.187880993,-4.613213062,NaN,-5.791054249,-6.576282501,-6.052796841,-5.725618839,-5.529312134,-5.234851837,-4.286034584,,,,,,,,,,,,,,,,
PRE,40,-5.169415951,-4.057010174,-4.024291992,-5.791054249,-7.686152458,-4.089727879,-4.874955654,NaN,-5.496593952,-6.576282501,-6.052796841,-6.281822205,-5.529312134,-4.416906357,-4.482341766,,,,,,,,,,,,,,,,
PRE,41,-5.300287247,-4.220599174,-4.122445583,-5.562029839,-7.831173897,-4.122445583,-4.515059471,NaN,-4.907673359,-6.510846615,-5.921925545,-6.052796841,-5.562029839,-4.449624062,-4.122445583,,,,,,,,,,,,,,,,
PRE,42,-5.496593952,-4.220599174,-4.449624062,-5.758336544,-8.169557571,-4.155163288,-4.645930767,NaN,-5.758336544,-6.510846615,-5.725618839,-5.692901134,-5.562029839,-4.351469994,-4.351469994,,,,,,,,,,,,,,,,
PRE,43,-5.594747543,-3.926138639,-4.449624062,-5.88920784,-8.088990211,-3.86070323,-4.482341766,NaN,-5.333004951,-6.576282501,-5.921925545,-5.987361431,-5.398440838,-4.515059471,-4.286034584,,,,,,,,,,,,,,,,
PRE,44,-5.627465248,-3.991574287,-4.122445583,-5.88920784,-7.976195812,-4.057010174,-4.515059471,NaN,-4.809519768,-6.576282501,-6.314539909,-5.529312134,-5.398440838,-4.253316879,-4.253316879,,,,,,,,,,,,,,,,
PRE,45,-4.940391064,-3.991574287,-4.122445583,-5.300287247,-8.201785088,-4.220599174,-4.580495358,NaN,-5.725618839,-6.510846615,-6.183668613,-6.020079136,-5.333004951,-4.318752289,-4.089727879,,,,,,,,,,,,,,,,
PRE,46,-5.562029839,-3.893420935,-4.089727879,-6.183668613,-8.024536133,-3.958856583,-4.645930767,NaN,-5.431158543,-6.576282501,-5.921925545,-6.052796841,-5.496593952,-4.351469994,-4.057010174,,,,,,,,,,,,,,,,
PRE,47,-5.365722656,-3.991574287,-3.991574287,-6.183668613,-7.670039177,-3.991574287,-4.416906357,NaN,-5.005826473,-6.576282501,-6.216386318,-5.725618839,-5.496593952,-4.416906357,-3.926138639,,,,,,,,,,,,,,,,
PRE,48,-5.627465248,-3.991574287,-3.991574287,-4.318752289,-7.895627975,-3.893420935,-4.645930767,NaN,-5.333004951,-6.576282501,-6.347257614,-5.725618839,-5.921925545,-4.416906357,-4.449624062,,,,,,,,,,,,,,,,
PRE,49,NaN,NaN,-4.220599174,NaN,-7.718379498,-4.089727879,NaN,NaN,NaN,-6.576282501,-6.347257614,-5.529312134,-5.692901134,-4.351469994,-4.220599174,,,,,,,,,,,,,,,,
POST,1,-8.185671806,-4.286034584,-3.86070323,-5.823771954,-8.234012604,-4.253316879,-5.136698246,-5.267569542,-5.529312134,-6.47812891,-5.856490135,-6.150950909,-5.921925545,-4.253316879,-4.842237473,,,,,,,,,,,,,,,,
POST,2,-8.121217728,-3.958856583,-3.86070323,-5.88920784,-8.234012604,-4.220599174,-4.973108768,-5.234851837,-5.88920784,-6.379975319,-6.020079136,-5.692901134,-5.692901134,-4.384188175,-5.005826473,,,,,,,,,,,,,,,,
POST,3,-8.217898369,-3.958856583,-3.795267582,-5.88920784,-8.217898369,-4.155163288,-5.267569542,-5.136698246,-5.431158543,-6.445411205,-5.987361431,-5.823771954,-5.921925545,-4.384188175,-5.005826473,,,,,,,,,,,,,,,,
POST,4,-8.217898369,-4.024291992,-3.795267582,-5.95464325,-8.217898369,-4.678648472,-5.267569542,-5.103980541,-5.856490135,-6.445411205,-6.052796841,-6.150950909,-5.95464325,-4.515059471,-4.973108768,,,,,,,,,,,,,,,,
POST,5,-8.185671806,-4.253316879,-3.533524752,-5.987361431,-8.217898369,-4.155163288,-5.202133656,-5.136698246,-5.365722656,-6.445411205,-6.150950909,-5.95464325,-5.95464325,-4.318752289,-4.973108768,,,,,,,,,,,,,,,,
