Treatment,Step,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15
PRE,29,-319.9116111,-426.5487784,-504.103136,-315.0644567,-296.0151679,-319.911594,-87.24860355,-150.2615055,-300.5230286,-184.191516,-164.8029324,-150.2615033,-150.2615011,-135.720073,-455.6316797
PRE,30,-407.1602058,-426.5487784,-426.5488016,-387.7716498,-245.8835537,-271.4401328,-82.40147559,-189.0386661,-334.4530127,-174.4972292,-150.2615099,-169.6500924,-169.6500968,-135.7200686,-387.7716322
PRE,31,-290.8287374,-271.4401461,-426.5488016,-363.5359041,-200.5264018,-256.8987136,-121.1786317,-184.191516,-285.9815653,-324.7587302,-150.2615121,-179.3443748,-140.567212,-155.1086644,-339.3001583
PRE,32,-285.9815697,-324.7587236,-368.3830409,-382.9244843,-236.3346643,-300.5230264,-82.40147007,-256.8987004,-218.1215442,-222.968681,-189.0386616,-169.6500968,-179.3443792,-159.9558056,-455.6316897
PRE,33,-426.5487707,-324.7587236,-387.7716327,-319.9115935,-164.7181217,-184.1915204,-82.40147118,-135.7200686,-174.4972336,-213.2743886,-155.1086621,-184.1915155,-159.9558061,-164.8029379,-378.0773277
PRE,34,-368.3830762,-242.3572811,-421.7016339,-315.0644489,-248.2707959,-208.4272353,-67.86003872,-222.968681,-281.1344461,-198.7329617,-150.2615055,-174.4972292,-193.8858205,-150.2615187,-397.4659389
PRE,35,-285.9815752,-242.3572811,-421.7016339,-392.6187767,-243.4963302,-150.2614967,-82.40147118,-184.191516,-213.2743909,-184.1915315,-130.872923,-208.4272485,-111.4843405,-155.1086594,-242.3572591
PRE,36,-315.0644567,-276.2872828,-416.8544971,-339.3001715,-281.6918228,-271.440135,-116.3314861,-184.1915248,-189.0386793,-256.8987004,-126.0257796,-169.6500836,-222.968681,-155.1086423,-504.1031084
PRE,37,-329.6058648,-276.2872828,-416.8545037,-421.7016515,-202.9136219,-319.9115935,-116.3314861,-179.3443748,-218.1215442,-193.8858205,-135.7200642,-155.1086599,-135.7200642,-130.872923,-285.9815653
PRE,38,-300.5230021,-363.5359195,-465.3259616,-378.0773415,-202.9136153,-261.7458592,-77.55433438,NaN,-450.7845518,-184.1915315,-150.2614967,-145.4143599,-189.0386661,-164.80296,-504.1031227
PRE,39,-252.0515459,-363.5359195,-465.3259616,-256.8987136,-181.4286693,-295.6758808,-77.55432555,NaN,-368.3830409,-218.1215442,-155.1086511,-135.7200686,-155.1086511,-150.2615187,-319.9116089
PRE,40,-266.5929872,-247.2044091,-513.7974007,-407.1602141,-257.8196566,-310.2172845,-87.24861238,NaN,-290.8287153,-222.9686942,-174.4972253,-145.4143554,-271.4401284,-140.5672054,-315.0644567
PRE,41,-213.2743897,-247.2044091,-513.7974007,-368.3830541,-176.6542158,-242.3572613,-77.55432114,NaN,-266.5929872,-218.1215398,-159.9557967,-164.8029424,-135.7200686,-164.8029401,-266.5929916
PRE,42,-324.7587479,-121.1786229,-445.9373802,-373.2301909,-288.8534986,-213.2743942,-77.55433438,NaN,-237.5101134,-227.8158448,-159.9557901,-169.6500858,-242.3572635,-155.1086511,-305.3701522
PRE,43,-300.523011,-300.5230132,-445.9373802,-353.8416128,-231.560235,-252.0515558,-92.09576021,NaN,-261.7458548,-179.344377,-126.0257685,-159.9557923,-174.4972424,-155.1086423,-581.6574659
PRE,44,-237.5101223,-300.5230132,-431.3959163,-368.3830502,-229.1730104,-319.911589,-92.09575801,NaN,-222.9686788,-222.9686766,-150.2615231,-135.7200697,-329.6058803,-159.9558011,-436.2430884
PRE,45,-266.5930071,-266.5930093,-358.6887673,-339.3001594,-188.59029,-193.8858161,-82.40148442,NaN,-305.3701522,-247.2044179,-121.1786317,-155.1086489,-121.17864,-179.344388,-421.7016692
PRE,46,-266.5930004,-266.5930093,-591.3517748,-319.9115846,-250.6579895,-247.2044003,-77.55431231,NaN,-222.9686987,-198.7329705,-189.0386616,-150.2615011,-213.2744096,-208.4272441,-363.5359052
PRE,47,-285.9815653,-285.9815907,-591.3517748,-348.9944826,-155.1692433,-116.3314861,-82.40147559,NaN,-222.9686942,-256.8987004,-106.6371905,-130.872923,-159.9557967,-155.1086644,-470.1730901
PRE,48,-319.9115957,-285.9815907,-528.3388552,-310.2173177,-195.7519505,-174.4972292,-87.24862121,NaN,-271.4401372,-184.1915182,-126.0257906,-189.0386638,-189.0386616,-159.9557967,-547.7274201
PRE,49,NaN,NaN,-528.3388552,NaN,-212.4624893,-174.4972292,NaN,NaN,NaN,-213.2743897,-121.1786229,-150.2615099,-126.0257774,-169.650099,-339.3001671
POST,1,-706.6168455,-116.3314927,-353.8415996,-290.8287153,-341.3723242,-222.9686992,-87.24862121,-237.5101179,-169.6500791,-150.2615143,-169.6501012,-189.0386594,-218.1215354,-159.9557923,-538.0331465
POST,2,-484.6054535,-150.2615011,-281.1344285,-247.2044003,-312.7256692,-252.0515525,-87.24862121,-237.5101179,-174.4972402,-184.1915204,-222.9687031,-145.4143599,-281.1344285,-169.6500836,-576.8102806
POST,3,-441.635513,-237.5101444,-281.1344329,-290.8287109,-310.3384733,-315.0644611,-92.09575801,-227.8158266,-358.6887275,-247.2044047,-140.5672098,-135.7200642,-169.6500836,-145.4143554,-620.4345868
POST,4,-644.5490908,-237.5101444,-407.1602058,-266.5929916,-329.4362169,-203.5800985,-87.24863004,-135.7200752,-285.9815697,-159.9557873,-159.9558144,-126.0257774,-189.0386793,-213.2743897,-470.1730724
POST,5,-529.9625944,-126.0257774,-373.2301953,-329.6058841,-262.5940792,-373.2301931,-87.2486168,-208.4272574,-300.5230154,-203.580114,-208.4272353,-159.9557923,-193.8858051,-203.5801029,-460.4787812
POST,6,-613.5152929,-222.968681,-426.5487883,-358.6887579,-315.1128916,-315.0644456,-96.94291246,-193.8858249,-242.3572856,-193.8858028,-189.0386661,-155.1086467,-169.650078,-193.8858073,-358.6887761
POST,7,-744.8123634,-184.1915248,-475.0202446,-334.4530259,-350.9211783,-184.1915315,-82.40148442,-222.9686766,-237.5101179,-179.3443726,-150.2614967,-140.5672131,-189.0386881,-174.4972513,-494.4088403
POST,8,-618.2896934,-174.4972513,-387.7716322,-363.5358864,-229.1730237,-242.3572635,-106.6371949,-213.2744052,-266.5930004,-247.2044179,-159.9557879,-203.5800985,-256.8987004,-189.0386705,-310.2172978
POST,9,-723.3273887,-169.6500968,-358.6887761,-213.2743986,-307.9512554,-174.4972292,-111.4843361,-203.580098,-276.2872917,-203.5801073,-135.7200642,-126.0257774,-222.968681,-174.4972292,-392.61878
POST,10,-627.8385828,-159.9557879,-528.3388552,-329.6058803,-260.2068646,-344.1473227,-96.94291246,-203.5800985,-179.3443792,-164.8029556,-150.2615055,-121.1786362,-227.8158399,-189.0386793,-484.714527
