TREATMENT,Step,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15
PRE,29,-6.2491045,-2.911885977,-1.897633791,-6.576282501,-7.670039177,-1.7994802,-2.159376144,-4.547777176,-3.729831934,-6.085515022,-6.707153797,-6.445411205,-6.412693501,-2.682861328,-1.930351615
PRE,30,-6.805306911,-2.813732624,-1.63589108,-6.412693501,-7.911741734,-1.96306932,-2.551990271,-4.449624062,-4.416906357,-6.085515022,-6.674435616,-6.281822205,-6.412693501,-2.093940496,-2.682861328
PRE,31,-6.707153797,-2.813732624,-1.47230196,-6.412693501,-7.202746391,-1.7994802,-2.257529736,-5.758336544,-5.202133656,-5.921925545,-6.739871502,-6.281822205,-6.2491045,-3.173628807,-2.682861328
PRE,32,-6.772589207,-2.682861328,-1.341430664,-6.379975319,-7.122178555,-2.650143623,-2.290247679,-3.991574287,-5.856490135,-5.95464325,-6.838024616,-6.379975319,-6.772589207,-3.140911102,-2.846450567
PRE,33,-6.641717911,-2.94460392,-1.832198024,-6.445411205,-7.718379498,-2.551990271,-2.617425919,-5.496593952,-4.286034584,-5.95464325,-6.576282501,-6.216386318,-6.47812891,-2.617425919,-1.897633791
PRE,34,-6.609000206,-2.94460392,-1.864915967,-6.47812891,-7.782833576,-1.930351615,-2.486554384,-4.874955654,-5.627465248,-5.791054249,-6.314539909,-6.47812891,-6.412693501,-2.813732624,-2.061222792
PRE,35,-6.739871502,-2.551990271,-1.864915967,-6.510846615,-7.782833576,-2.061222792,-2.421118736,-4.286034584,-5.529312134,-6.183668613,-6.674435616,-6.47812891,-6.707153797,-2.355683088,-2.421118736
PRE,36,-6.838024616,-2.748296976,-1.603173375,-6.510846615,-7.057724476,-1.96306932,-2.519272327,-5.529312134,-6.314539909,-6.183668613,-6.838024616,-6.772589207,-6.805306911,-2.682861328,-2.290247679
PRE,37,-6.347257614,-2.748296976,-1.537737727,-6.805306911,-6.638772964,-2.061222792,-2.486554384,-3.926138639,-4.416906357,-5.791054249,-6.510846615,-6.641717911,-6.54356432,-2.159376144,-1.96306932
PRE,38,-6.609000206,-2.682861328,-1.537737727,-6.805306911,-6.961043358,-2.192094088,-3.27178216,NaN,-3.402653456,-6.216386318,-6.805306911,-6.707153797,-6.772589207,-2.879168272,-2.911885977
PRE,39,-6.674435616,-2.519272327,-1.505019784,-6.510846615,-6.719340801,-2.486554384,-2.322965384,NaN,-3.795267582,-6.216386318,-6.805306911,-6.510846615,-6.772589207,-2.748296976,-1.63589108
PRE,40,-6.641717911,-2.650143623,-1.668608904,-6.510846615,-7.686152458,-1.930351615,-2.421118736,NaN,-4.057010174,-5.791054249,-6.609000206,-5.987361431,-6.805306911,-2.322965384,-2.748296976
PRE,41,-6.54356432,-2.977321625,-1.668608904,-6.510846615,-7.347768784,-1.832198024,-2.355683088,NaN,-4.351469994,-5.791054249,-6.674435616,-6.772589207,-6.445411205,-1.995787144,-2.192094088
PRE,42,-6.510846615,-2.977321625,-1.897633791,-6.805306911,-7.379995346,-2.290247679,-2.421118736,NaN,-4.842237473,-5.823771954,-6.968895912,-6.739871502,-6.772589207,-2.192094088,-2.388401031
PRE,43,-6.576282501,-2.94460392,-1.897633791,-6.805306911,-7.154405594,-1.7994802,-2.748296976,NaN,-3.958856583,-5.823771954,-6.772589207,-6.379975319,-6.772589207,-2.355683088,-2.551990271
PRE,44,-6.674435616,-2.94460392,-1.537737727,-6.772589207,-7.508903503,-1.96306932,-2.322965384,NaN,-5.431158543,-5.365722656,-6.609000206,-6.674435616,-6.379975319,-2.061222792,-2.911885977
PRE,45,-6.903460503,-2.650143623,-2.519272327,-6.772589207,-6.816021919,-1.766762376,-2.519272327,NaN,-5.136698246,-5.365722656,-6.609000206,-6.838024616,-6.707153797,-1.864915967,-3.86070323
PRE,46,-6.903460503,-2.781014919,-2.519272327,-6.772589207,-6.848248959,-2.093940496,-2.257529736,NaN,-6.118233204,-4.940391064,-6.47812891,-6.870742798,-6.609000206,-3.369935751,-2.94460392
PRE,47,-6.805306911,-3.239064455,-1.734044552,-6.576282501,-6.397070408,-2.486554384,-2.486554384,NaN,-4.907673359,-5.921925545,-6.641717911,-6.739871502,-6.576282501,-2.846450567,-2.519272327
PRE,48,-6.674435616,-3.239064455,-1.734044552,-6.576282501,-7.26720047,-1.734044552,-2.715579271,NaN,-5.431158543,-5.921925545,-6.739871502,-6.903460503,-6.609000206,-3.010039568,-2.617425919
PRE,49,NaN,NaN,-1.766762376,NaN,-7.670039177,-1.930351615,NaN,NaN,NaN,-5.300287247,-6.641717911,-6.674435616,-6.609000206,-2.748296976,-2.650143623
POST,1,-5.301350594,-2.846450567,-1.537737727,-6.805306911,-8.024536133,-1.897633791,-2.846450567,-4.711366177,-4.155163288,-5.594747543,-6.54356432,-6.052796841,-6.641717911,-2.911885977,-2.617425919
POST,2,-6.78379488,-2.617425919,-1.406866312,-6.739871502,-8.088990211,-2.159376144,-2.846450567,-4.318752289,-3.86070323,-5.594747543,-6.772589207,-6.674435616,-6.281822205,-2.584707975,-2.846450567
POST,3,-7.299427509,-2.584707975,-1.537737727,-5.791054249,-7.831173897,-1.930351615,-2.879168272,-4.416906357,-5.169415951,-5.103980541,-6.739871502,-6.674435616,-6.641717911,-2.093940496,-2.846450567
POST,4,-5.94589138,-2.551990271,-1.439584136,-6.576282501,-8.008422852,-1.995787144,-3.369935751,-3.926138639,-3.369935751,-5.103980541,-6.772589207,-6.54356432,-6.281822205,-1.930351615,-2.519272327
