"Treatment","Step","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15"
"PRE",29,-775.5432644,-247.2044091,-252.0515542,-1386.283472,-1112.444089,-344.1473194,-184.1915337,-387.7716498,-547.7274112,-1468.685035,-1880.692343,-1458.990709,-1580.169402,-324.7587479,-416.8545015
"PRE",30,-950.0404626,-315.064439,-353.841604,-1236.022046,-969.2109071,-344.1473127,-256.8987026,-276.2872652,-727.0718081,-1463.837952,-1759.513685,-1488.073653,-1531.697929,-319.9116111,-552.5745834
"PRE",31,-906.4161344,-276.287274,-256.8987092,-1410.519323,-818.8161592,-368.3830673,-189.0386793,-247.2043914,-683.4475152,-1391.130626,-1914.62238,-1740.125261,-1153.620552,-281.1344285,-455.6316974
"PRE",32,-891.874724,-305.3701566,-281.1344417,-1109.996259,-892.8199628,-193.8858249,-247.2044069,-281.1344108,-736.766064,-1173.00917,-950.0404715,-1706.195118,-1425.060743,-266.5929916,-591.3517174
"PRE",33,-833.7089765,-295.6759007,-329.6058759,-1124.537692,-794.9439048,-213.2744118,-285.9815785,-387.7715792,-562.2688393,-1507.462306,-940.3461449,-1381.436485,-1425.060778,-189.0386616,-363.5359394
"PRE",34,-717.3775169,-334.4530347,-300.5230242,-1245.716363,-995.4702867,-256.898718,-213.2743897,-295.6758477,-741.6132185,-1701.348078,-1914.622327,-1575.322261,-1526.850823,-213.2744074,-581.6574659
"PRE",35,-1332.965029,-329.6058891,-300.5230242,-1095.454893,-1024.11692,-285.9815741,-281.1344329,-261.745846,-673.7532416,-1522.003602,-1769.208064,-1391.13067,-1517.156401,-276.2872828,-562.2688702
"PRE",36,-1056.67771,-305.3701433,-392.6187778,-1211.786351,-1079.022915,-344.1473127,-324.7587214,-213.2743897,-654.3646194,-1648.029485,-1589.863579,-1570.475041,-1614.099334,-213.2744251,-450.7845297
"PRE",37,-1182.703426,-348.9944539,-261.745846,-1071.219174,-919.0793436,-358.6887408,-281.1344307,-256.8987092,-722.2246448,-1347.506413,-1623.793616,-1614.099382,-1735.278027,-281.1344296,-552.5745922
"PRE",38,-814.3204293,-285.9815741,-402.3130646,-1095.454875,-1055.150823,-334.4530259,-285.9815697,NA,-853.0976296,-1410.519253,-1643.182349,-1483.226525,-1332.964958,-348.9944495,-683.4474754
"PRE",39,-998.5119983,-315.0644478,-271.4401461,-1119.690551,-909.5304586,-252.0515724,-169.650088,NA,-673.7532063,-1686.806606,-1328.117812,-1880.69229,-1347.506395,-203.580125,-785.2375733
"PRE",40,-1017.90051,-368.383032,-281.1344373,-1366.89503,-1064.69966,-256.8986871,-290.8287374,NA,-872.4861415,-872.4861415,-1517.156518,-1856.456615,-1347.506413,-256.8987004,-848.2503781
"PRE",41,-712.5303448,-281.1344285,-271.4401284,-1478.379327,-993.0831218,-392.618769,-290.8287197,NA,-504.1030741,-809.4733367,-1332.964993,-1715.889462,-1328.117901,-290.8287374,-605.8931852
"PRE",42,-673.7532239,-319.9116111,-271.4401284,-1143.926349,-897.5943336,-339.3001671,-218.1215177,NA,-673.7531798,-1473.532146,-1904.928124,-1754.666645,-1318.423503,-189.0386263,-494.4088271
"PRE",43,-799.7789571,-344.1473083,-344.1473172,-1027.594801,-1047.989064,-334.4530347,-218.1215348,NA,-678.6003431,-1541.392264,-950.0404715,-1807.985194,-1236.022046,-334.4530127,-731.9189361
