"Treatment","Step","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15"
"PRE",29,-4.286034584,-2.617425919,-2.715579271,-4.678648472,-6.316502571,-0.65435648,-0.425331682,-4.384188175,-2.257529736,-4.089727879,-5.627465248,-5.300287247,-5.660182953,-0.261742562,-2.846450567
"PRE",30,-4.678648472,-2.813732624,-2.388401031,-3.762549639,-3.496635199,-0.687074244,-0.359896034,-3.795267582,-2.421118736,-4.089727879,-5.692901134,-5.234851837,-5.038544655,-0.196306944,-2.421118736
"PRE",31,-3.337217808,-2.388401031,-2.388401031,-3.304500103,-3.609429836,-0.948816895,-0.32717824,-3.075475454,-2.813732624,-4.711366177,-6.020079136,-5.823771954,-6.347257614,-0.523485124,-2.486554384
"PRE",32,-4.580495358,-2.159376144,-2.093940496,-4.187880993,-4.705149651,-0.425331682,-0.425331682,-3.631678104,-2.977321625,-4.809519768,-5.496593952,-6.020079136,-5.333004951,-0.425331682,-2.224812031
"PRE",33,-4.024291992,-2.519272327,-2.192094088,-3.042757511,-3.706111431,-0.523485124,-0.425331682,-3.369935751,-2.028505087,-4.220599174,-4.482341766,-5.234851837,-6.314539909,-0.392613888,-2.519272327
"PRE",34,-4.515059471,-2.093940496,-2.192094088,-3.958856583,-3.786678791,-0.752509892,-0.425331682,-3.762549639,-2.453836679,-4.449624062,-5.921925545,-5.660182953,-5.463876247,-0.49076733,-2.355683088
"PRE",35,-5.529312134,-2.453836679,-1.96306932,-3.108193159,-5.94589138,-0.752509892,-0.229024753,-3.631678104,-2.257529736,-4.155163288,-5.300287247,-5.038544655,-5.692901134,-0.65435648,-1.7994802
"PRE",36,-4.089727879,-2.355683088,-2.650143623,-4.057010174,-6.139254093,-0.687074244,-0.32717824,-3.042757511,-3.075475454,-4.842237473,-4.940391064,-6.085515022,-6.118233204,-0.458049506,-1.930351615
"PRE",37,-4.973108768,-2.224812031,-1.995787144,-3.631678104,-5.043534279,-0.687074244,-0.32717824,-3.566242456,-2.224812031,-4.089727879,-5.300287247,-5.921925545,-6.183668613,-0.261742562,-2.192094088
"PRE",38,-5.562029839,-3.075475454,-1.995787144,-4.057010174,-4.753490448,-0.687074244,-0.49076733,NA,-2.813732624,-3.5989604,-5.88920784,-5.267569542,-6.118233204,-0.523485124,-3.173628807
"PRE",39,-5.463876247,-2.94460392,-1.864915967,-4.318752289,-4.431220055,-0.588920772,-0.359896034,NA,-2.650143623,-4.416906357,-5.300287247,-6.020079136,-5.365722656,-0.32717824,-2.781014919
"PRE",40,-4.220599174,-2.486554384,-1.701326728,-3.991574287,-5.043534279,-0.719792068,-0.359896034,NA,-2.453836679,-4.187880993,-5.758336544,-6.085515022,-6.347257614,-0.294460386,-4.057010174
"PRE",41,-3.762549639,-2.846450567,-2.093940496,-3.795267582,-3.802792549,-0.850663364,-0.32717824,NA,-1.832198024,-4.089727879,-5.234851837,-6.020079136,-5.791054249,-0.523485124,-2.748296976
"PRE",42,-3.795267582,-2.028505087,-2.093940496,-3.958856583,-4.447333336,-0.850663364,-0.229024753,NA,-3.173628807,-4.318752289,-5.07126236,-6.347257614,-6.118233204,-0.16358912,-1.995787144
"PRE",43,-4.220599174,-2.061222792,-2.159376144,-3.795267582,-6.107027054,-0.719792068,-0.49076733,NA,-2.911885977,-4.613213062,-5.07126236,-5.856490135,-6.183668613,-0.16358912,-3.369935751
"PRE",44,-3.991574287,-2.224812031,-2.519272327,-4.220599174,-4.930738926,-0.785227776,-0.49076733,NA,-2.257529736,-3.500806808,-5.88920784,-6.150950909,-5.496593952,-0.065435641,-2.94460392
"PRE",45,-3.631678104,-1.930351615,-2.519272327,-3.926138639,-5.317463875,-0.785227776,-0.392613888,NA,-4.089727879,-4.155163288,-5.529312134,-5.921925545,-6.150950909,-0.294460386,-3.468089104
"PRE",46,-3.827985287,-2.421118736,-2.061222792,-3.86070323,-5.978117943,-0.556203008,-0.49076733,NA,-4.253316879,-4.220599174,-5.562029839,-5.594747543,-5.594747543,-0.294460386,-2.192094088
"PRE",47,-4.122445583,-2.093940496,-2.12665844,-4.482341766,-3.947813988,-0.850663364,-0.49076733,NA,-2.748296976,-4.155163288,-4.449624062,-6.150950909,-6.118233204,-0.03271782,-2.519272327
"PRE",48,-4.057010174,-2.453836679,-2.192094088,-3.5989604,-6.042572975,-0.850663364,-0.556203008,NA,-4.057010174,-2.486554384,-5.267569542,-5.594747543,-5.529312134,-0.49076733,-3.108193159
"PRE",49,NA,NA,-2.650143623,NA,-4.334538937,-0.948816895,NA,NA,NA,-4.547777176,-5.431158543,-6.020079136,-5.562029839,-0.392613888,-2.682861328
"POST",1,-1.176287413,-2.290247679,-2.551990271,-3.991574287,-6.525978565,-0.621638596,-0.785227776,-3.631678104,-1.766762376,-3.566242456,-5.627465248,-6.47812891,-6.085515022,-0.392613888,-1.668608904
"POST",2,-1.530785084,-2.486554384,-2.584707975,-4.351469994,-7.379995346,-0.621638596,-0.785227776,-3.631678104,-2.879168272,-3.697113752,-6.020079136,-6.674435616,-5.627465248,-0.883381188,-2.715579271
"POST",3,-1.756374359,-2.224812031,-2.617425919,-4.416906357,-6.155367374,-0.621638596,-0.785227776,-4.057010174,-2.879168272,-4.122445583,-5.562029839,-6.674435616,-5.398440838,-0.359896034,-2.322965384
"POST",4,-1.756374359,-2.192094088,-2.617425919,-4.155163288,-7.251086712,-0.621638596,-0.785227776,-3.827985287,-4.155163288,-3.369935751,-5.725618839,-6.445411205,-4.907673359,-0.294460386,-1.63589108
